Date,Open,High,Low,Close,Volume,OpenInt
19890112,11.316,11.316,11.207,11.216,0,0
19890113,11.207,11.252,11.18,11.18,0,0
19890116,11.198,11.198,11.061,11.088,0,0
19890117,10.906,10.943,10.705,10.724,0,0
19890118,10.65,10.815,10.65,10.751,0,0
19890119,10.96,10.979,10.897,10.933,0,0
19890120,10.842,10.933,10.815,10.815,0,0
19890123,10.751,10.777,10.751,10.751,0,0
19890124,10.777,10.842,10.751,10.777,0,0
19890125,10.806,10.832,10.686,10.686,0,0
19890126,10.422,10.478,10.367,10.413,0,0
19890127,10.503,10.541,10.459,10.478,0,0
19890130,10.422,10.422,10.002,10.057,0,0
19890131,10.04,10.168,9.994,10.031,0,0
19890201,9.994,10.057,9.903,9.985,0,0
19890202,10.158,10.259,10.148,10.259,0,0
19890203,10.386,10.422,10.35,10.396,0,0
19890206,10.377,10.604,10.377,10.604,0,0
19890207,10.686,10.686,10.549,10.65,0,0
19890208,10.77,10.77,10.705,10.714,0,0
19890209,10.587,10.64,10.541,10.604,0,0
19890210,10.549,10.614,10.486,10.614,0,0
19890213,10.396,10.422,10.36,10.36,0,0
19890214,10.322,10.36,10.259,10.259,0,0
19890215,10.122,10.185,10.04,10.103,0,0
19890216,10.185,10.185,10.086,10.103,0,0
19890217,10.23,10.285,10.168,10.285,0,0
19890220,10.422,10.459,10.331,10.35,0,0
19890221,10.213,10.331,10.213,10.285,0,0
19890222,10.213,10.249,10.168,10.223,0,0
19890223,10.057,10.103,10.002,10.057,0,0
19890224,10.103,10.259,10.103,10.249,0,0
19890227,10.04,10.23,10.031,10.23,0,0
19890228,10.259,10.314,10.259,10.268,0,0
19890301,10.36,10.459,10.36,10.396,0,0
19890302,10.377,10.459,10.377,10.441,0,0
19890303,10.594,10.65,10.577,10.65,0,0
19890306,10.686,11.006,10.686,11.006,0,0
19890307,11.116,11.116,10.906,10.96,0,0
19890308,10.832,10.979,10.796,10.979,0,0
19890309,11.106,11.207,11.043,11.18,0,0
19890310,11.334,11.353,11.288,11.288,0,0
19890313,11.207,11.353,11.152,11.279,0,0
19890314,11.444,11.444,11.371,11.407,0,0
19890315,11.444,11.444,11.371,11.416,0,0
19890316,11.234,11.261,11.198,11.198,0,0
19890317,11.261,11.261,11.134,11.18,0,0
19890320,10.96,10.979,10.888,10.943,0,0
19890321,10.952,10.979,10.924,10.979,0,0
19890322,11.024,11.07,10.997,10.997,0,0
19890323,10.979,11.043,10.933,11.043,0,0
19890328,11.061,11.088,11.043,11.061,0,0
19890329,11.134,11.207,11.134,11.161,0,0
19890330,11.216,11.234,11.207,11.207,0,0
19890331,11.207,11.234,11.207,11.224,0,0
19890403,11.353,11.462,11.353,11.416,0,0
19890404,11.416,11.416,11.297,11.297,0,0
19890405,11.334,11.334,11.261,11.316,0,0
19890406,11.207,11.297,11.207,11.207,0,0
19890407,11.152,11.234,11.152,11.234,0,0
19890410,11.261,11.398,11.261,11.334,0,0
19890411,11.425,11.498,11.416,11.416,0,0
19890412,11.398,11.553,11.398,11.544,0,0
19890413,11.663,11.718,11.553,11.553,0,0
