Date,Open,High,Low,Close,Volume,OpenInt
20161004,14.75,15.05,14.4,14.9,79205,0
20161005,14.9,14.9,14.45,14.45,44058,0
20161006,14.3,14.5,14.205,14.3,13015,0
20161007,14.3,14.3,13.55,13.87,60585,0
20161010,14.05,14.095,13.945,13.945,2502,0
20161011,14,14.5,13.925,14,13232,0
20161012,14.15,14.23,13.65,13.7,20697,0
20161013,13.615,14,13.615,13.62,8511,0
20161014,13.7,14.44,13.7,14.1,45064,0
20161017,14.34,14.415,14,14.2,14605,0
20161018,14.055,14.435,14.05,14.3,11904,0
20161019,14.545,14.595,14.17,14.17,17993,0
20161020,14.2,14.415,14.1,14.1,6063,0
20161021,14.1,14.25,14.06,14.22,22440,0
20161024,14.005,14.2,13.955,14.05,25318,0
20161025,14.2,14.2,13.98,14.05,13848,0
20161026,14.2,14.2,14.075,14.15,4161,0
20161027,14.005,14.1,13.995,14.1,11076,0
20161028,14,14.1,13.805,14.1,2611,0
20161031,14.005,14.15,13.805,13.905,8968,0
20161101,14.1,14.14,13.85,13.85,2247,0
20161102,13.75,14,13.75,13.95,2589,0
20161103,13.93,13.93,13.75,13.75,1062,0
20161104,13.655,14.065,13.655,13.83,5639,0
20161107,14.065,14.1,14,14.03,1422,0
20161108,14.08,14.08,14,14.015,1214,0
20161109,13.825,14.1,13.8,14.075,3681,0
20161110,14.07,14.07,13.45,13.625,7833,0
20161111,13.42,13.6,13.15,13.45,14273,0
20161114,13.81,14.065,13.81,13.91,2999,0
20161115,13.945,14.095,13.755,13.9,3246,0
20161116,13.995,14.1,13.805,14.095,4615,0
20161117,13.905,13.95,13.725,13.895,5203,0
20161118,13.945,14,13.73,13.8,12502,0
20161121,14.1,14.1,13.83,13.9,9997,0
20161122,14.1,14.1,13.81,13.815,3022,0
20161123,14,14,13.745,13.745,4504,0
20161124,13.625,13.895,13.565,13.73,3485,0
20161125,13.655,13.9,13.65,13.65,1718,0
20161128,13.625,13.815,13.6,13.795,3178,0
20161129,13.74,13.745,13.53,13.68,6678,0
20161130,13.605,13.69,13.5,13.575,6627,0
20161201,13.505,13.505,13.505,13.505,33,0
20161202,13.555,13.82,13.55,13.725,7920,0
20161205,13.705,13.705,13.43,13.43,5017,0
20161206,13.7,13.7,13.275,13.31,6110,0
20161207,13.6,13.6,13.165,13.165,4020,0
20161208,13.365,13.5,13.11,13.11,9630,0
20161209,13.285,13.35,13.08,13.08,7606,0
20161212,13.15,13.15,12.8,12.845,9519,0
20161213,13.05,13.4,13.05,13.23,18549,0
20161214,13.4,13.745,13.39,13.67,3831,0
20161215,13.805,14.145,13.6,13.825,12283,0
20161216,13.72,13.91,13.695,13.75,7517,0
20161219,13.7,13.91,13.65,13.785,4609,0
20161220,13.905,14.06,13.83,13.91,7850,0
20161221,13.93,13.98,13.78,13.925,11581,0
20161222,13.78,13.92,13.7,13.7,746,0
20161223,13.705,13.895,13.65,13.7,4945,0
