Date,Open,High,Low,Close,Volume,OpenInt
20051215,19.518,19.879,19.022,19.518,4392,0
20051216,19.518,19.518,19.022,19.518,4171,0
20051219,19.473,19.473,18.752,18.752,2063,0
20051220,19.248,19.248,18.752,18.752,333,0
20051221,18.752,19.203,18.752,19.203,6744,0
20051222,19.203,19.473,19.203,19.473,399,0
20051223,19.248,19.473,18.752,19.383,2773,0
20051227,19.248,19.338,18.932,19.338,2462,0
20051228,19.022,19.473,18.752,19.022,2884,0
20051229,19.248,19.248,18.752,18.752,3261,0
20060102,19.473,19.473,18.887,18.887,1154,0
20060103,19.203,19.203,19.022,19.022,44,0
20060104,19.022,19.248,18.797,18.797,266,0
20060105,19.158,19.158,19.022,19.022,222,0
20060106,19.158,19.248,19.158,19.248,1265,0
20060109,19.473,19.473,19.022,19.022,1065,0
20060110,18.977,19.022,18.752,19.022,2307,0
20060111,19.022,19.022,19.022,19.022,1619,0
20060112,18.977,19.113,18.977,19.113,4326,0
20060113,19.158,19.608,19.113,19.608,5413,0
20060116,19.608,20.33,19.608,19.924,12956,0
20060117,19.699,19.699,19.158,19.428,3128,0
20060118,19.248,19.248,18.932,19.022,1619,0
20060119,18.797,19.248,18.797,19.248,311,0
20060120,19.158,19.428,18.842,19.022,2884,0
20060123,19.248,19.248,19.248,19.248,266,0
20060124,18.797,19.293,18.572,19.022,666,0
20060125,19.203,19.203,18.797,19.203,155,0
20060126,18.797,19.022,18.797,18.797,1131,0
20060127,18.797,19.338,18.752,19.338,2596,0
20060130,19.022,19.203,18.797,19.203,377,0
20060131,18.797,18.797,18.797,18.797,333,0
20060201,18.887,19.248,18.887,19.248,466,0
20060202,19.158,19.158,19.158,19.158,89,0
20060203,19.158,19.158,19.158,19.158,44,0
20060206,19.158,19.473,19.158,19.473,67,0
20060207,19.158,19.248,18.797,18.797,444,0
20060208,19.248,19.248,18.797,18.797,89,0
20060209,19.203,19.203,18.752,19.203,2485,0
20060210,18.752,19.248,18.752,19.248,1065,0
20060213,18.752,19.473,18.752,19.473,2795,0
20060214,19.473,19.924,19.022,19.383,12246,0
20060215,19.473,19.789,19.248,19.789,998,0
20060216,19.158,19.789,19.158,19.699,776,0
20060217,19.248,19.654,19.248,19.608,2174,0
20060220,19.338,19.473,19.248,19.473,422,0
20060221,19.473,19.608,19.248,19.608,998,0
20060222,19.158,19.248,18.797,19.248,2396,0
20060223,19.428,19.924,19.022,19.924,1464,0
20060224,19.473,20.149,19.158,20.104,2374,0
20060227,19.789,19.924,19.022,19.699,621,0
20060228,19.654,20.059,19.248,19.248,1797,0
20060301,19.699,19.699,19.699,19.699,22,0
20060302,19.608,19.608,19.608,19.608,44,0
20060303,19.699,19.699,19.699,19.699,67,0
20060306,19.608,19.654,19.473,19.473,422,0
20060307,19.654,19.654,19.654,19.654,89,0
20060308,19.473,19.473,19.022,19.022,666,0
20060310,19.608,20.014,19.473,20.014,4015,0
20060313,19.879,19.969,19.699,19.924,643,0
20060314,19.879,20.149,19.608,20.149,1708,0
20060315,20.014,20.78,20.014,20.78,3549,0
20060316,20.375,20.51,20.375,20.51,466,0
20060317,20.78,21.006,20.6,21.006,1242,0
20060320,20.961,21.682,20.78,21.457,5724,0
20060321,21.682,22.313,21.231,22.223,5147,0
20060322,22.358,22.809,21.682,22.223,1797,0
20060323,22.719,23.215,22.043,23.215,4437,0
20060324,23.215,23.215,22.358,22.809,3128,0
20060327,22.899,22.899,21.457,22.133,3638,0
20060328,21.592,21.907,21.051,21.682,2085,0
20060329,21.006,21.727,20.78,21.321,1997,0
20060330,21.907,21.907,20.826,21.231,1242,0
20060331,21.186,21.186,21.186,21.186,67,0
20060403,20.78,21.998,20.78,21.998,1797,0
20060404,22.043,22.674,22.043,22.674,1619,0
20060405,22.674,22.674,22.674,22.674,111,0
20060406,22.133,22.358,22.133,22.358,266,0
20060407,21.907,22.358,21.682,22.133,3394,0
20060410,22.538,22.538,21.457,22.133,488,0
20060411,22.358,22.538,22.358,22.538,932,0
20060412,22.538,22.989,22.358,22.989,3527,0
20060413,22.854,24.116,22.854,24.071,6433,0
20060418,23.485,23.62,23.034,23.034,1597,0
20060419,23.124,23.215,21.682,22.538,3350,0
20060420,22.584,22.584,22.358,22.584,244,0
20060421,22.629,22.629,22.088,22.629,466,0
20060425,22.133,22.133,22.133,22.133,333,0
20060426,21.907,22.448,21.682,22.448,1686,0
20060427,22.178,22.178,22.178,22.178,222,0
20060428,21.682,22.133,21.682,22.133,399,0
20060502,21.682,22.088,21.457,21.457,1043,0
20060503,21.682,21.862,21.682,21.862,1242,0
20060504,21.862,22.178,21.682,22.133,3084,0
