Date,Open,High,Low,Close,Volume,OpenInt
20070628,15.784,15.784,13.874,14.621,4232074,0
20070629,14.702,14.868,14.619,14.785,282200,0
20070702,14.953,15.161,14.879,15.161,198382,0
20070703,15.119,15.285,15.037,15.285,48270,0
20070704,15.285,15.56,15.202,15.343,96903,0
20070705,15.37,15.786,15.329,15.536,116151,0
20070706,15.786,15.786,15.287,15.536,24795,0
20070709,15.536,15.661,15.387,15.536,38637,0
20070710,15.583,15.583,14.969,15.093,23582,0
20070711,14.967,15.2,14.718,15.084,106492,0
20070712,15.206,15.539,15.123,15.373,31169,0
20070713,15.371,15.412,15.122,15.363,11675,0
20070716,15.454,15.454,15.121,15.421,21062,0
20070717,15.369,15.444,15.285,15.285,15768,0
20070718,15.363,15.363,14.99,15.122,10350,0
20070719,15.081,15.281,15.04,15.247,45853,0
20070720,15.227,15.227,14.952,15.036,30096,0
20070723,15.036,15.036,15.036,15.036,5538,0
20070724,15.036,15.118,15.036,15.036,6621,0
20070725,15.039,15.121,14.955,14.997,65475,0
20070726,14.964,15.039,14.955,14.997,128542,0
20070727,14.958,14.999,14.958,14.958,306370,0
20070730,14.948,14.957,14.948,14.948,361,0
20070731,14.878,14.885,14.835,14.852,4693,0
20070801,14.868,14.868,13.714,14.544,19023,0
20070802,14.619,14.669,14.544,14.544,42233,0
20070803,14.87,14.87,14.146,14.37,168897,0
20070806,13.706,14.454,13.706,14.37,33226,0
20070807,14.577,14.577,13.755,14.121,175173,0
20070808,14.289,14.496,14.246,14.496,25280,0
20070809,14.333,14.458,13.958,14.458,54640,0
20070810,14.538,14.538,13.957,14.082,36471,0
20070813,14.121,14.602,14.121,14.121,2167,0
20070814,14.13,14.13,14.063,14.063,2286,0
20070815,14.037,14.121,13.705,14.121,57428,0
20070816,13.713,13.713,12.724,12.724,3369,0
20070817,11.634,14.949,11.309,14.043,30927,0
20070820,13.872,13.872,13.698,13.706,28651,0
20070821,13.706,14.03,13.382,13.706,5899,0
20070822,14.036,14.111,13.379,13.504,14321,0
20070823,13.706,13.706,13.381,13.581,6622,0
20070824,14.127,14.127,13.395,14.043,10469,0
20070827,14.162,14.785,14.162,14.785,2769,0
20070828,14.453,14.453,14.121,14.121,33469,0
20070829,14.246,14.537,14.246,14.255,101718,0
20070830,14.543,14.601,14.294,14.294,6377,0
20070831,14.248,14.788,14.124,14.747,2888,0
20070903,14.751,15.374,14.335,14.958,4813,0
20070904,14.958,15.374,14.958,14.958,6979,0
20070905,14.955,14.955,14.59,14.872,9148,0
20070906,14.876,14.958,14.876,14.958,8543,0
20070907,14.997,15.122,14.641,14.641,114575,0
20070910,14.953,14.953,14.372,14.621,843,0
20070911,14.993,15.325,14.535,14.785,34433,0
20070912,14.943,14.943,14.245,14.245,187685,0
20070913,14.455,14.953,14.38,14.38,4093,0
20070914,14.594,15.168,14.544,14.727,13476,0
20070917,14.79,14.873,14.457,14.699,3370,0
20070918,14.788,14.954,14.538,14.747,3610,0
20070919,14.96,15.126,14.387,14.669,23823,0
20070920,14.829,14.863,14.514,14.747,4334,0
20070921,14.788,15.096,14.772,14.872,72820,0
20070924,14.626,15.066,14.626,14.958,50661,0
20070925,14.958,14.958,14.792,14.833,2647,0
20070926,14.75,14.957,14.75,14.891,2047,0
20070927,14.71,14.952,14.669,14.669,291412,0
20070928,14.861,14.91,14.861,14.91,4094,0
20071001,14.704,15.161,14.704,15.161,185141,0
20071002,15.4,15.832,15.101,15.209,56192,0
20071003,15.285,15.426,15.119,15.161,57060,0
20071004,15.29,15.623,15.124,15.623,5656,0
