Date,Open,High,Low,Close,Volume,OpenInt
20090408,1.47,1.52,1.47,1.48,400,0
20090415,1.44,1.5,1.44,1.46,3,0
20090420,1.36,1.41,1.31,1.36,200,0
20090421,1.31,1.36,1.31,1.36,100,0
20090424,1.31,1.41,1.31,1.41,690,0
20090428,1.36,1.41,1.31,1.31,15,0
20090430,1.26,1.36,1.18,1.23,948,0
20090504,1.18,1.4,1.18,1.38,1612,0
20090505,1.33,1.79,1.33,1.5,598,0
20090506,1.44,1.56,1.44,1.56,350,0
20090507,1.5,1.56,1.5,1.56,500,0
20090511,1.9,2.01,1.9,1.96,100,0
20090512,1.9,2.07,1.9,2.07,302,0
20090513,2,2.4,2,2.4,750,0
20090514,2.32,2.9,2.31,2.31,2299,0
20090515,2.3,2.35,2.3,2.35,1000,0
20090518,2.3,2.35,2.3,2.35,1600,0
20090519,2.3,2.35,2.13,2.13,550,0
20090521,2.05,2.13,1.91,1.99,1840,0
20090522,1.91,1.99,1.78,1.78,580,0
20090525,1.91,1.92,1.68,1.68,1105,0
20090526,1.62,1.88,1.62,1.82,1500,0
20090527,1.75,1.96,1.75,1.86,500,0
20090602,1.59,1.59,1.35,1.4,2450,0
20090608,1.35,1.4,1.35,1.35,1000,0
20090611,1.3,1.33,1.28,1.29,375,0
20090618,1.25,1.3,1.25,1.26,925,0
20090619,1.21,1.26,1.1,1.1,2785,0
20090622,1.06,1.14,1.06,1.06,90,0
20090624,1.02,1.1,1.02,1.1,200,0
20090629,1.06,1.14,1.06,1.1,100,0
20090702,1.1,1.18,1.1,1.18,500,0
20090708,1.17,1.22,1.17,1.18,20,0
20090713,1.16,1.2,1.15,1.2,1000,0
20090714,1.16,1.21,1.16,1.2,138,0
20090720,1.2,1.25,1.2,1.21,700,0
20090722,1.17,1.27,1.17,1.23,500,0
20090728,1.25,1.3,1.25,1.25,950,0
20090731,1.18,1.26,1.18,1.26,1410,0
20090803,1.22,1.35,1.22,1.3,500,0
20090804,1.25,1.45,1.25,1.45,800,0
20090811,1.55,1.89,1.5,1.82,4255,0
20090812,1.75,1.82,1.5,1.75,1000,0
20090813,1.69,1.83,1.69,1.76,1332,0
20090814,1.7,1.83,1.7,1.77,100,0
20090817,1.71,1.83,1.63,1.63,552,0
20090818,1.57,1.82,1.57,1.82,1760,0
20090825,1.8,1.94,1.8,1.94,100,0
20090826,1.87,2.09,1.87,2.09,1855,0
20090827,2.09,2.28,2.01,2.28,1285,0
20090828,2.18,2.3,2.17,2.22,2004,0
20090831,2.17,2.33,2.17,2.33,1000,0
20090903,2.25,2.52,2.25,2.49,1092,0
20090908,2.42,2.82,2.42,2.82,32,0
20090910,2.82,3.02,2.82,3.02,334,0
20090911,3,3.5,3,3.48,734,0
20090914,3.35,3.9,3.11,3.75,22237,0
20090915,3.61,3.9,3.6,3.87,902,0
20090916,3.76,4.64,3.76,4.12,3147,0
20090917,4,4.1,3.5,3.5,994,0
20090918,3.5,4,3.5,3.75,2114,0
20090921,3.65,4,3.3,3.41,2927,0
20090922,3.32,3.61,3.3,3.41,1535,0
20090923,3.41,4,3,3.18,1601,0
20090924,3,3.27,3,3.09,1900,0
20090925,3.09,3.27,2.9,3,2060,0
20090928,2.92,3.15,2.92,3.1,200,0
20090930,3.06,3.24,3,3,598,0
20091001,2.92,3.06,2.91,2.99,100,0
20091002,3,3,2.4,2.4,400,0
20091005,2.65,3,2.64,3,500,0
20091006,2.94,3,2.37,2.58,3850,0
20091007,2.51,2.59,2.51,2.58,461,0
20091008,2.45,2.61,2.45,2.61,125,0
20091012,2.6,2.98,2.59,2.98,1634,0
20091013,2.9,3.05,2.87,2.99,1501,0
20091014,2.91,3,2.64,2.72,1460,0
20091015,2.65,2.87,2.65,2.81,110,0
20091016,2.73,2.81,2.66,2.66,227,0
20091020,2.6,2.74,2.3,2.5,3125,0
20091021,2.44,2.6,1.85,1.85,1400,0
20091022,1.9,2.39,1.9,2.38,4230,0
20091023,2.32,2.36,1.9,1.9,600,0
20091026,2.15,2.2,1.9,2.14,875,0
20091105,2.14,2.22,2.06,2.14,500,0
20091109,2.06,2.2,2.06,2.06,200,0
