Date,Open,High,Low,Close,Volume,OpenInt
20060410,82.053,88.891,82.053,88.891,10165423,0
20060411,88.435,89.164,85.243,85.471,1303829,0
20060412,84.323,86.976,83.602,86.612,477022,0
20060413,86.612,87.524,85.7,86.612,376001,0
20060418,86.566,90.97,85.937,90.486,457606,0
20060419,90.486,99.209,90.367,98.916,848525,0
20060420,100.65,104.74,95.77,95.77,755513,0
20060421,96.595,100.74,96.595,99.82,245366,0
20060424,100.18,100.28,93.475,96.644,238785,0
20060425,97.471,99.375,96.653,98.682,145553,0
20060426,99.56,100.06,98.682,99.375,167271,0
20060427,99.287,102.11,95.2,97.096,297028,0
20060428,98.672,99.033,94.817,94.817,159045,0
20060502,94.817,97.686,94.361,96.644,126356,0
20060503,97.549,99.375,96.383,99.151,88186,0
20060504,99.93,103.92,99.93,102.94,338489,0
20060505,103.48,109.18,103.48,109.18,246023,0
20060508,113.5,116.1,108.3,109.86,193814,0
20060509,109.86,112.05,107.08,108.94,128989,0
20060510,107.59,109.04,105.03,107.13,129977,0
20060511,106.22,107.85,101.31,101.74,219590,0
20060512,101.11,101.65,97.106,100.01,212681,0
20060515,99.375,99.375,90.486,98.311,348251,0
20060516,97.096,97.096,85.818,86.612,869696,0
20060517,88.161,89.511,77.549,78.406,1042998,0
20060518,78.588,81.688,76.591,78.962,538226,0
20060519,81.142,87.068,81.142,85.153,590436,0
20060522,87.159,87.295,77.54,80.23,219151,0
20060523,81.963,82.918,78.862,82.682,471100,0
20060524,82.874,82.965,79.865,81.533,169902,0
20060525,82.755,82.965,79.818,80.686,44093,0
20060526,81.898,84.241,81.049,83.402,121093,0
20060529,83.703,83.703,82.235,82.691,33894,0
20060530,82.509,83.548,81.944,82.372,126797,0
20060531,82.463,83.421,80.421,82.509,52211,0
20060601,81.442,84.624,81.442,84.104,39486,0
20060602,85.973,88.891,85.973,87.068,150599,0
20060605,87.816,88.426,85.8,86.448,36087,0
20060606,84.788,85.243,82.599,84.049,107053,0
20060607,84.378,85.471,81.142,81.825,105298,0
20060608,79.254,79.592,75.16,75.16,247012,0
20060609,77.494,78.497,74.394,75.488,162553,0
20060612,76.309,77.313,73.847,73.847,73050,0
20060613,72.344,73.301,69.745,70.976,124602,0
20060614,70.93,72.024,69.289,69.745,101350,0
20060619,73.246,75.351,72.115,72.115,78753,0
20060620,73.301,74.175,72.034,73.374,89284,0
20060621,73.802,74.577,72.298,73.712,100582,0
20060622,76.582,76.582,72.936,73.21,150706,0
20060623,73.575,74.44,70.656,71.059,128440,0
20060626,72.024,73.036,69.289,69.745,102555,0
