Date,Open,High,Low,Close,Volume,OpenInt
20090406,2.679,2.747,2.56,2.594,6654,0
20090407,2.594,2.765,2.577,2.765,826,0
20090408,2.526,2.747,2.389,2.577,1589,0
20090409,2.611,2.73,2.56,2.696,4501,0
20090414,2.628,2.696,2.577,2.611,10130,0
20090415,2.594,2.713,2.509,2.56,21671,0
20090416,2.543,2.628,2.423,2.56,17517,0
20090417,2.457,2.645,2.389,2.526,18375,0
20090420,2.509,2.628,2.406,2.628,14962,0
20090421,2.577,2.833,2.492,2.833,28507,0
20090422,2.73,2.969,2.645,2.969,26921,0
20090423,2.85,3.072,2.696,2.969,21636,0
20090424,2.918,3.003,2.594,2.73,20928,0
20090427,2.696,2.85,2.696,2.747,7519,0
20090428,2.713,2.833,2.713,2.73,4352,0
20090429,2.73,2.799,2.696,2.73,8825,0
20090430,2.747,2.816,2.713,2.747,7600,0
20090504,2.782,2.782,2.492,2.56,16636,0
20090505,2.577,2.73,2.56,2.713,4414,0
20090506,2.543,2.679,2.543,2.662,2049,0
20090507,2.645,2.713,2.56,2.577,1887,0
20090508,2.594,2.679,2.56,2.577,2247,0
20090511,2.56,2.696,2.509,2.696,8962,0
20090512,2.543,2.713,2.543,2.628,2965,0
20090513,2.645,2.713,2.389,2.577,11692,0
20090514,2.56,2.816,2.543,2.782,24402,0
20090515,2.765,2.867,2.389,2.73,10314,0
20090518,2.696,2.816,2.287,2.747,10510,0
20090519,2.765,2.765,2.611,2.713,4272,0
20090520,2.628,2.73,2.577,2.645,8597,0
20090521,2.577,2.713,2.577,2.594,386,0
20090522,2.577,2.867,2.577,2.782,25478,0
20090525,2.782,2.901,2.765,2.765,12862,0
20090526,2.747,3.072,2.645,2.816,4951,0
20090527,2.799,2.935,2.782,2.935,5978,0
20090528,2.85,2.918,2.577,2.901,9188,0
20090529,2.833,2.935,2.611,2.935,3071,0
20090601,2.884,2.901,2.782,2.884,230,0
20090602,2.765,2.867,2.474,2.628,17773,0
20090603,2.594,2.816,2.474,2.73,1243,0
20090604,2.679,2.85,2.56,2.679,9242,0
20090605,2.679,2.833,2.44,2.645,12456,0
20090608,2.594,2.816,2.56,2.628,12793,0
20090609,2.628,2.816,2.577,2.713,2426,0
20090610,2.645,2.73,2.218,2.526,21810,0
20090611,2.492,2.645,2.304,2.645,1329,0
20090612,2.389,2.73,2.389,2.645,13948,0
20090615,2.56,2.645,2.492,2.628,2484,0
20090616,2.492,2.645,2.406,2.509,2624,0
20090617,2.509,2.679,2.389,2.509,19674,0
20090618,2.509,2.56,2.389,2.543,7771,0
20090619,2.44,2.56,2.423,2.474,5345,0
20090622,2.44,2.526,2.423,2.44,4277,0
20090623,2.423,2.628,2.389,2.56,11256,0
20090624,2.44,2.696,2.423,2.577,1888,0
20090625,2.56,2.577,2.56,2.56,7102,0
20090626,2.509,2.577,2.389,2.56,3384,0
20090629,2.406,2.611,2.406,2.44,1594,0
20090630,2.44,2.611,2.423,2.611,8369,0
20090701,2.577,2.611,2.56,2.611,240,0
20090702,2.543,2.611,2.543,2.577,4441,0
20090703,2.577,2.645,2.56,2.56,11185,0
20090706,2.526,2.611,2.389,2.492,12172,0
20090707,2.492,2.713,2.406,2.492,14391,0
20090708,2.44,2.577,2.321,2.543,5977,0
20090709,2.543,2.56,2.389,2.423,3545,0
20090710,2.389,2.56,2.389,2.474,4488,0
20090713,2.372,2.56,2.372,2.457,22883,0
20090714,2.389,2.628,2.389,2.628,32987,0
20090715,2.526,2.816,2.389,2.816,51204,0
20090716,2.73,2.867,2.611,2.799,50534,0
20090717,2.696,2.901,2.492,2.765,6135,0
20090720,2.782,2.816,2.56,2.73,24965,0
20090721,2.662,2.73,2.56,2.662,2581,0
20090722,2.73,2.901,2.645,2.662,2943,0
20090723,2.679,2.73,2.577,2.594,13863,0
20090724,2.56,2.645,2.56,2.577,18458,0
20090727,2.594,2.628,2.406,2.628,2530,0
20090728,2.611,2.696,2.474,2.662,14099,0
20090729,2.679,2.73,2.56,2.73,14832,0
20090730,2.713,2.73,2.628,2.645,8734,0
20090731,2.645,2.833,2.611,2.782,19812,0
20090803,2.782,2.85,2.73,2.833,10895,0
20090804,2.765,3.038,2.611,2.935,48849,0
20090805,2.867,3.311,2.867,3.311,73914,0
20090806,3.242,3.379,2.969,3.072,95256,0
20090807,3.021,3.259,2.867,3.259,37346,0
20090810,3.242,4.044,3.157,3.754,146654,0
20090811,3.413,3.669,3.328,3.362,51173,0
20090812,3.413,3.464,3.242,3.277,21552,0
20090813,3.208,3.413,2.935,3.072,39961,0
20090814,3.225,3.396,2.969,2.969,10578,0
20090817,2.935,3.191,2.73,3.038,21373,0
20090818,2.986,3.242,2.73,3.174,9387,0
