Date,Open,High,Low,Close,Volume,OpenInt
20001108,31.2285,34.8918,30.688,32.91,4013,0
20001109,32.841,33.8017,31.0399,31.22,633,0
20001110,32.3791,33.3984,30.94,30.94,584,0
20001113,30.949,31.7887,28.13,28.13,1050,0
20001115,30.66,30.66,28.74,29.82,83,0
20001116,29.8094,29.8094,28.13,28.13,584,0
20001117,28.18,28.24,28.18,28.18,100,0
20001120,28.2,28.92,28.14,28.92,33,0
20001122,28.13,28.13,28.13,28.13,17,0
20001123,28.1207,29.2,28.1207,29.2,17,0
20001124,28.3993,29.48,28.3993,29.48,67,0
20001127,29.8506,29.8506,28.1688,29.31,200,0
20001129,28.4299,28.6698,28.13,28.13,17,0
20001130,28.13,28.13,28.13,28.13,50,0
20001205,28.13,28.3699,28.13,28.13,150,0
20001206,28.3899,28.69,28.1498,28.69,17,0
20001207,28.9697,28.9697,28.13,28.13,50,0
20001208,28.1303,28.97,28.1303,28.97,100,0
20001211,28.6698,28.6698,28.13,28.13,83,0
20001212,28.13,28.13,28.13,28.13,17,0
20001213,28.6698,28.6698,28.13,28.13,17,0
20001214,28.6698,28.6698,28.13,28.13,33,0
20001215,28.13,28.6698,28.13,28.13,67,0
20001218,28.13,28.13,28.13,28.13,50,0
20001219,28.13,28.13,28.13,28.13,167,0
20001220,28.13,28.13,28.13,28.13,117,0
20001221,28.13,28.13,28.13,28.13,167,0
20001222,28.3699,28.3699,28.13,28.13,67,0
20001227,28.1103,28.35,28.1103,28.35,167,0
20001228,28.13,28.13,28.13,28.13,67,0
20001229,28.6698,29.5095,28.13,28.13,634,0
20010102,28.1498,28.69,28.1498,28.69,50,0
20010109,28.14,28.14,27.12,27.12,17,0
20010110,27.57,28.2307,27.2096,27.57,200,0
20010111,28.07,28.13,28.07,28.13,83,0
20010115,28.1498,28.69,27.8497,28.69,67,0
20010118,28.1501,28.1501,27.85,27.85,33,0
20010122,27.57,27.57,27.57,27.57,17,0
20010124,27.3,27.3,27,27,17,0
20010126,28.35,28.35,28.35,28.35,33,0
20010129,27.5798,27.5798,27.34,27.34,33,0
20010131,27.3406,28.24,27.3406,28.24,17,0
20010207,25.9004,27.9988,25.9004,26.44,384,0
20010212,26.7298,26.7298,26.55,26.55,17,0
20010214,26.82,27.12,26.82,27.12,17,0
20010216,27.5499,27.85,27.5499,27.85,67,0
20010219,26.4301,26.55,26.4301,26.55,50,0
20010221,25.62,25.62,25.32,25.32,167,0
20010222,25.32,25.32,25.32,25.32,133,0
20010223,25.32,25.32,24.48,25.32,133,0
20010226,25.32,25.32,25.32,25.32,67,0
20010227,25.32,25.32,25.02,25.32,267,0
20010228,24.9505,26.33,24.9505,26.33,100,0
20010301,26.32,26.38,25.8404,26.38,33,0
20010302,27.2208,28.3,27.2208,28.3,33,0
20010305,29.3502,29.3502,28.3299,28.69,67,0
20010306,28.63,28.63,27.8497,28.63,17,0
20010313,26.5,26.5,26.5,26.5,17,0
20010322,26.46,26.46,25.32,25.32,167,0
20010323,25.2893,25.2893,24.75,24.75,50,0
20010330,28.08,28.98,27,27,250,0
20010402,27.17,27.17,27.17,27.17,67,0
20010403,27.06,27.06,27.06,27.06,33,0
20010404,26.2301,26.4102,25.99,25.99,33,0
20010410,25.32,25.32,25.32,25.32,17,0
20010417,25.2893,25.2893,24.75,24.75,184,0
20010424,25.6398,25.88,25.6398,25.88,83,0
20010427,25.6,25.6,25.6,25.6,33,0
20010430,24.75,24.75,24.75,24.75,117,0
20010502,25.43,25.43,25.43,25.43,50,0
20010511,22.8,22.8,22.5,22.5,133,0
20010514,23.6194,23.6194,22.7801,22.9,117,0
20010515,22.0606,22.78,21.7609,22.78,133,0
20010521,23.01,23.01,23.01,23.01,17,0
20010523,23.6004,23.6004,23.18,23.18,50,0
20010530,23.1201,23.4804,22.5796,23.06,33,0
20010604,23.0207,23.8599,23.0207,23.8,17,0
20010702,23.01,23.01,23.01,23.01,67,0
20010704,23.3301,23.8699,23.3301,23.63,300,0
20010710,22.4905,23.63,22.4905,23.63,150,0
20010720,22.5,22.5,22.5,22.5,17,0
20010723,22.5,22.5,22.5,22.5,100,0
20010724,22.22,22.22,22.22,22.22,50,0
20010801,21.1698,21.1698,20.0903,20.81,283,0
20010802,21.1903,21.1903,19.9897,20.59,317,0
20010803,19.6412,19.6412,18.56,18.56,150,0
20010806,16.355,16.355,13.8296,14.01,33,0
20010807,14.04,14.04,12.6,12.6,100,0
20010808,11.9582,13.16,11.2972,13.16,83,0
20010809,11.8457,11.8457,10.35,10.35,267,0
20010810,10.7114,11.25,10.7114,11.25,117,0
20010813,11.7886,11.7886,11.25,11.25,17,0
20010814,11.4894,11.4894,11.25,11.25,33,0
20010817,9.9501,10.5495,9.9501,10.01,217,0
20010820,10.01,10.01,10.01,10.01,17,0
20010821,9.56,9.56,9.56,9.56,17,0
20010824,9.8116,12.9225,9.8116,10.35,435,0
20010827,10.35,10.35,9.991,10.35,150,0
20010828,9.7083,9.8281,8.27,8.27,367,0
20010829,8.58,9.84,8.58,9.84,267,0
20010830,10.2797,10.46,9.8589,10.46,67,0
20010831,10.68,10.68,9.96,9.96,50,0
20010904,9.84,10.74,9.84,10.74,17,0
20010906,10.13,10.13,10.13,10.13,33,0
20010910,9.84,9.84,9.84,9.84,17,0
20011001,9.54,9.96,9.54,9.96,17,0
20011010,10.38,10.38,9.84,9.84,17,0
20011017,10.5099,10.63,10.5099,10.63,150,0
20011031,8.4508,9.23,8.4508,9.23,17,0
20011102,8.44,8.44,8.44,8.44,33,0
20011106,7.4823,8.44,6.764,8.44,184,0
20011107,7.3303,7.3303,7.09,7.09,33,0
20011108,7.098,7.88,7.098,7.88,33,0
20011109,7.961,8.38,7.4821,8.38,33,0
20011114,8.3692,8.61,8.3692,8.61,166,0
20011115,8.33,8.33,8.33,8.33,133,0
20011116,8.46,8.46,8.16,8.16,17,0
20011128,7.09,7.09,7.09,7.09,50,0
20011129,6.78,7.26,6.78,7.26,83,0
20011130,7.0104,7.31,7.0104,7.31,17,0
20011203,7.0104,7.31,7.0104,7.31,17,0
20011210,7.31,7.31,7.31,7.31,33,0
20011211,7.03,7.03,7.03,7.03,50,0
20011218,6.8024,6.8024,5.9596,6.08,133,0
20011220,6.2115,6.3924,5.8497,5.91,182,0
20020103,6.75,6.75,6.75,6.75,50,0
20020108,7.32,7.32,7.26,7.26,50,0
20020109,7.26,7.26,7.08,7.26,300,0
20020110,7.2501,7.31,7.2501,7.31,83,0
20020111,7.2876,7.5863,6.75,6.75,569,0
20020114,6.4605,6.64,6.4605,6.64,201,0
20020116,4.7926,6.7695,4.7926,6.47,267,0
20020117,7.1304,7.6098,6.7709,7.43,334,0
20020118,7.08,7.32,7.08,7.2,100,0
20020121,7.2,7.2,7.14,7.14,50,0
20020122,7.1302,7.31,6.9505,7.31,100,0
20020128,7.2703,7.2703,7.03,7.03,83,0
20020130,7.0403,7.0403,6.92,6.92,83,0
20020207,6.9202,6.9202,6.86,6.86,33,0
20020208,6.41,6.41,6.41,6.41,33,0
20020211,7.09,7.09,7.09,7.09,33,0
20020219,7.2809,7.5817,6.98,6.98,116,0
20020221,6.9889,7.1681,6.75,6.75,33,0
20020227,7.3603,7.48,7.3603,7.48,17,0
20020228,7.0091,7.0091,6.41,6.41,50,0
20020304,6.4699,6.4699,6.41,6.41,50,0
20020319,7.26,7.26,7.26,7.26,17,0
20020320,6.86,6.86,6.86,6.86,50,0
20020402,6.02,6.02,5.9598,6.02,83,0
20020404,5.9094,5.9094,5.6706,5.79,687,0
20020415,5.5102,5.63,5.1509,5.63,150,0
20020419,5.5101,5.57,5.5101,5.57,117,0
20020422,5.1802,5.1802,5.12,5.12,33,0
20020423,4.98,4.98,4.26,4.5,367,0
20020424,4.5,4.62,4.14,4.5,350,0
20020425,4.5,4.5,4.2,4.5,67,0
20020429,4.1691,4.1691,4.05,4.05,151,0
20020430,3.96,3.96,2.76,2.76,750,0
20020502,3.9304,3.99,3.9304,3.99,50,0
20020503,4.3106,4.61,4.3106,4.61,100,0
20020508,2.8971,4.1646,2.8971,3.38,99,0
20020510,3.38,3.38,3.1989,3.38,298,0
20020513,3.15,3.15,3.15,3.15,17,0
20020514,3.3283,3.3283,2.8528,3.15,101,0
20020515,3.3529,4.73,3.3529,4.73,150,0
20020531,5.63,5.63,5.63,5.63,50,0
20020620,5.0093,5.0093,4.89,4.89,3639,0
20020624,5.91,5.91,5.91,5.91,50,0
20020710,5.4503,5.63,5.4503,5.63,50,0
20020712,5.8998,6.3212,5.8998,5.96,100,0
20020716,6.3212,6.3212,5.96,5.96,100,0
