Date,Open,High,Low,Close,Volume,OpenInt
20040519,17.278,17.628,17.278,17.501,1802950,0
20040520,17.417,17.522,17.417,17.522,63705,0
20040521,17.459,17.459,17.375,17.45,127407,0
20040524,17.392,17.455,17.042,17.396,297599,0
20040525,17.396,17.396,17.292,17.354,218209,0
20040526,17.375,18.216,17.375,18.007,294510,0
20040527,18.007,18.216,17.711,18.17,76540,0
20040528,18.132,18.419,17.711,17.985,120039,0
20040531,17.775,18.132,17.775,18.132,238,0
20040601,18.048,18.048,17.775,17.901,17114,0
20040602,17.879,17.879,17.48,17.611,40172,0
20040603,17.459,17.522,17.354,17.459,70598,0
20040604,17.48,17.543,17.425,17.543,43024,0
20040607,17.292,17.501,17.253,17.439,218921,0
20040608,17.459,17.459,17.396,17.417,24245,0
20040609,17.292,17.439,17.249,17.37,57049,0
20040610,17.312,17.439,17.312,17.439,6180,0
20040611,17.341,17.459,17.249,17.439,91990,0
20040614,17.27,17.459,17.253,17.312,64653,0
20040615,17.253,17.439,17.249,17.439,53244,0
20040616,17.354,17.396,17.333,17.375,17114,0
20040617,17.253,17.333,16.618,17.249,139767,0
20040618,17.249,17.292,17.185,17.27,70358,0
20040621,17.249,17.27,17.24,17.249,169243,0
20040622,17.249,17.48,17.206,17.333,154030,0
20040623,17.249,17.884,17.249,17.879,80580,0
20040624,17.879,18.763,17.879,18.457,126456,0
20040625,18.595,18.599,18.258,18.599,56096,0
20040628,18.722,19.141,18.532,19.036,129071,0
20040629,18.847,19.141,18.827,18.973,208461,0
20040630,18.763,19.141,18.763,19.058,21868,0
20040701,19.264,19.731,19.016,19.353,66080,0
20040702,19.268,19.517,19.268,19.353,23294,0
20040705,19.415,19.562,19.415,19.562,10697,0
20040706,19.562,19.941,19.353,19.941,129784,0
20040707,19.983,20.068,19.5,19.963,98646,0
20040708,19.941,20.235,19.773,20.194,177562,0
20040709,20.551,20.551,20.068,20.319,122891,0
20040712,20.277,20.4,20.194,20.4,62040,0
20040713,20.4,20.404,20.194,20.4,106491,0
20040714,20.194,20.698,20.194,20.446,93177,0
20040715,20.573,20.573,20.361,20.371,34703,0
20040716,20.404,20.656,20.404,20.61,58473,0
20040719,20.892,20.892,20.404,20.614,47539,0
20040720,20.614,20.736,20.531,20.573,17352,0
20040721,20.488,20.597,20.446,20.594,15214,0
20040722,20.531,20.531,20.361,20.531,34943,0
20040723,20.526,20.531,20.383,20.488,18779,0
20040726,20.424,20.463,18.931,19.912,170430,0
