Date,Open,High,Low,Close,Volume,OpenInt
20040406,3.1657,3.1657,3.1657,3.1657,121,0
20040407,3.8317,3.8317,3.8317,3.8317,240,0
20040408,3.412,3.412,3.412,3.412,361,0
20040413,3.0016,3.0016,3.0016,3.0016,601,0
20040414,2.9194,2.9194,2.9194,2.9194,2405,0
20040415,3.0836,3.0836,3.0836,3.0836,2399,0
20040416,3.2022,3.2022,3.2022,3.2022,2405,0
20040419,3.4029,3.4029,3.4029,3.4029,2044,0
20040423,2.9924,2.9924,2.9924,2.9924,241,0
20040504,2.9924,2.9924,2.9924,2.9924,482,0
20040506,2.7461,2.7461,2.7461,2.7461,1202,0
20040510,2.7497,2.7497,2.4998,2.4998,1200,0
20040519,2.5363,2.5363,2.5363,2.5363,2405,0
20040526,2.9924,2.9924,2.9924,2.9924,962,0
20040614,3.2022,3.2022,3.2022,3.2022,4809,0
20040615,3.1657,3.1657,3.1657,3.1657,7203,0
20040621,3.1657,3.1657,3.1657,3.1657,121,0
20040623,3.0381,3.0381,3.0381,3.0381,1441,0
20040628,3.3299,3.3299,3.3299,3.3299,6967,0
20040629,3.6583,3.6583,3.6583,3.6583,1924,0
20040630,3.996,3.996,3.996,3.996,1682,0
20040701,3.7405,3.7405,3.7405,3.7405,240,0
20040702,3.6583,3.6583,3.6583,3.6583,121,0
20040705,3.4942,3.4942,3.4942,3.4942,482,0
20040706,3.4942,3.4942,3.4942,3.4942,240,0
20040707,3.6583,3.6583,3.6583,3.6583,361,0
20040708,3.6583,3.6583,3.6583,3.6583,1684,0
20040709,3.4942,3.4942,3.4942,3.4942,240,0
20040714,3.3299,3.3299,3.3299,3.3299,1561,0
20040715,3.3299,3.3299,3.3299,3.3299,482,0
20040720,3.3299,3.3299,3.3299,3.3299,1082,0
20040726,3.0836,3.0836,3.0836,3.0836,960,0
20040805,2.9924,2.9924,2.9924,2.9924,241,0
20040809,2.8191,2.8191,2.8191,2.8191,2646,0
20040810,2.6731,2.6731,2.6731,2.6731,1201,0
20040812,2.5818,2.5818,2.5818,2.5818,721,0
20040818,2.6184,2.6184,2.6184,2.6184,361,0
20040827,3.0836,3.0836,3.0836,3.0836,2760,0
20040903,3.1201,3.1201,3.1201,3.1201,1441,0
20040922,2.7096,2.7096,2.7096,2.7096,1200,0
20040924,2.6731,2.6731,2.6731,2.6731,1801,0
20041006,2.6093,2.6093,2.6093,2.6093,2399,0
20041012,2.5088,2.5088,2.5088,2.5088,121,0
20041101,2.6822,2.6822,2.6822,2.6822,240,0
20041108,2.7278,2.7278,2.7278,2.7278,601,0
20041119,2.7278,2.7278,2.7278,2.7278,121,0
20041125,2.7278,2.7278,2.7278,2.7278,482,0
20041214,2.6184,2.6184,2.6184,2.6184,722,0
20041215,2.29,2.29,2.29,2.29,361,0
20041222,2.5818,2.5818,2.5818,2.5818,840,0
20041227,2.5818,2.5818,2.5818,2.5818,1201,0
20041230,2.5818,2.5818,2.5818,2.5818,961,0
20050128,3.3299,3.3299,3.3299,3.3299,1201,0
20050202,3.4302,3.4302,3.4302,3.4302,2401,0
20050207,3.412,3.412,3.412,3.412,482,0
20050214,3.3299,3.3299,3.3299,3.3299,361,0
20050224,3.3299,3.3299,3.3299,3.3299,121,0
20050225,3.412,3.412,3.412,3.412,361,0
20050301,3.3299,3.3299,3.3299,3.3299,482,0
20050302,3.3299,3.3299,3.3299,3.3299,482,0
20050311,3.3299,3.3299,3.3299,3.3299,840,0
20050315,3.7497,3.7497,3.7497,3.7497,2400,0
20050318,3.8774,3.8774,3.8774,3.8774,240,0
20050324,3.6583,3.6583,3.6583,3.6583,482,0
20050330,3.8317,3.8317,3.8317,3.8317,479,0
20050331,3.8317,3.8317,3.8317,3.8317,361,0
20050404,4.0781,4.0781,4.0781,4.0781,841,0
20050415,3.8317,3.8317,3.8317,3.8317,1201,0
20050419,3.9138,3.9138,3.9138,3.9138,4804,0
20050422,4.224,4.224,4.224,4.224,601,0
20050425,4.224,4.224,4.224,4.224,1203,0
20050426,4.224,4.224,4.224,4.224,962,0
20050428,3.9138,3.9138,3.9138,3.9138,1440,0
20050503,3.8682,3.8682,3.8682,3.8682,482,0
