Date,Open,High,Low,Close,Volume,OpenInt
20150408,0.012,0.013,0.012,0.013,13156,0
20150410,0.012,0.013,0.012,0.013,1691,0
20150512,0.011,0.036,0.011,0.012,18150,0
20150609,0.011,0.011,0.011,0.011,350,0
20150616,0.009,0.009,0.009,0.009,1500,0
20150624,0.006,0.006,0.006,0.006,350,0
20150730,0.01,0.01,0.01,0.01,10,0
20150814,0.01,0.01,0.01,0.01,700,0
20150908,0.011,0.011,0.011,0.011,100,0
20150917,0.011,0.011,0.011,0.011,20000,0
20151019,0.011,0.012,0.011,0.012,35,0
20151113,0.011,0.011,0.011,0.011,31818,0
20151211,0.007,0.008,0.007,0.008,9520,0
20151221,0.007,0.008,0.007,0.008,1400,0
20151222,0.007,0.008,0.007,0.008,49,0
20151228,0.007,0.026,0.007,0.026,5000,0
20160111,0.017,0.017,0.017,0.017,3150,0
20160115,0.012,0.012,0.012,0.012,170,0
20160718,0.004,0.004,0.004,0.004,93,0
20160811,0.004,0.004,0.004,0.004,1000,0
20160822,0.004,0.004,0.004,0.004,580,0
20161018,0.004,0.004,0.004,0.004,40,0
20161228,0.002,0.003,0.002,0.003,700,0
20170110,0.002,0.002,0.002,0.002,140,0
20170117,0.002,0.002,0.002,0.002,400,0
20170126,0.002,0.002,0.002,0.002,700,0
20170316,0.002,0.002,0.002,0.002,500,0
