Date,Open,High,Low,Close,Volume,OpenInt
20090414,7.4764,7.6327,7.3752,7.3936,1682,0
20090415,7.5132,8.2121,7.4488,7.9178,2306,0
20090416,8.0833,8.4603,7.9454,8.4603,566,0
20090417,8.4603,8.5523,8.2764,8.4603,109,0
20090420,8.5523,8.7178,8.4419,8.4419,197,0
20090421,8.7178,8.7178,8.4051,8.4051,840,0
20090422,8.5799,8.5799,8.4419,8.5248,625,0
20090423,8.5248,8.6995,8.3224,8.3224,598,0
20090427,8.4603,8.4603,8.2764,8.3224,51,0
20090428,8.4603,8.4603,8.0006,8.2764,1528,0
20090429,8.4419,9.1864,8.304,9.1864,1826,0
20090430,9.0121,9.1594,8.8741,8.9661,729,0
20090504,8.9661,9.1041,8.2948,9.1041,65,0
20090505,9.1041,9.1041,8.957,8.957,162,0
20090506,8.957,10.051,8.396,10.051,578,0
20090508,9.821,9.821,9.61,9.656,652,0
20090511,9.656,9.656,8.9202,8.9202,435,0
20090513,8.9661,8.9661,8.8741,8.9202,54,0
20090514,8.9202,9.1501,8.9202,9.0581,217,0
20090520,8.9661,9.839,8.7822,9.748,2404,0
20090522,9.61,9.61,9.4263,9.4263,109,0
20090527,9.4995,9.647,9.3521,9.647,7,0
20090608,9.554,9.554,9.1317,9.3338,2308,0
20090609,9.3338,9.3338,9.0029,9.1408,1174,0
20090610,9.1408,9.2789,8.4603,9.1501,2382,0
20090612,9.2423,9.738,9.196,9.738,1060,0
20090615,9.738,9.839,9.601,9.839,109,0
20090616,9.839,10.005,9.702,10.005,652,0
20090618,10.005,10.015,9.665,9.858,1343,0
20090619,9.858,9.969,9.665,9.969,109,0
20090622,10.051,10.116,9.969,9.969,136,0
20090623,9.969,9.969,9.748,9.748,245,0
20090624,9.748,11.026,9.554,11.026,42,0
20090625,9.702,10.484,9.693,10.207,1479,0
20090626,10.207,10.363,10.051,10.363,109,0
20090629,10.391,10.391,10.235,10.254,1957,0
20090630,10.254,10.262,10.098,10.098,217,0
20090706,10.051,10.051,9.38,9.527,1349,0
20090707,9.527,9.831,9.38,9.831,674,0
20090708,9.831,9.969,9.683,9.969,359,0
20090709,9.969,9.969,9.2875,9.554,2909,0
20090713,9.554,9.702,9.408,9.656,369,0
20090714,9.665,9.831,9.518,9.831,217,0
20090715,9.665,9.674,9.527,9.61,217,0
20090716,9.61,10.116,9.564,10.116,435,0
20090717,10.116,10.116,9.821,10.116,22,0
20090720,10.116,10.116,9.821,9.821,533,0
20090721,9.674,10.18,9.665,10.18,1441,0
20090722,10.18,10.18,9.839,10.023,326,0
20090723,10.023,10.18,9.867,10.18,326,0
20090724,10.023,10.023,9.867,10.023,1098,0
20090727,10.023,10.207,9.876,10.07,1522,0
20090728,10.023,10.391,10.023,10.391,2678,0
20090729,10.391,10.529,10.116,10.401,478,0
20090730,10.401,10.547,10.116,10.116,544,0
20090731,10.383,10.529,10.116,10.143,816,0
20090803,10.143,10.63,10.116,10.63,1098,0
20090804,10.63,11.642,10.153,10.925,1966,0
20090806,10.934,11.771,10.778,11.154,811,0
20090807,11.154,11.154,10.934,11.091,109,0
20090810,11.081,11.771,10.575,10.75,1314,0
20090813,10.75,11.091,10.585,10.814,609,0
20090814,10.814,11.174,10.814,10.943,360,0
20090817,10.943,11.017,10.723,10.99,751,0
20090818,10.99,10.99,10.778,10.943,778,0
20090819,10.943,11.109,10.842,10.87,598,0
20090820,10.704,10.87,10.3,10.3,1142,0
20090821,10.3,10.309,10.153,10.309,163,0
20090824,10.309,10.814,10.161,10.456,1162,0
