Date,Open,High,Low,Close,Volume,OpenInt
20090406,7.3145,7.4059,7.0584,7.0584,3278,0
20090407,7.0584,7.223,7.0584,7.1042,77,0
20090408,7.1042,7.3236,7.0859,7.3236,2520,0
20090409,7.2047,7.3328,7.1316,7.223,1093,0
20090414,7.223,7.6254,7.1407,7.2505,11397,0
20090415,7.2505,7.8173,7.2505,7.6345,3172,0
20090416,7.6345,9.0516,7.6345,8.0459,4952,0
20090417,8.0459,8.2288,7.9087,8.0917,2542,0
20090420,8.0917,8.3659,7.4973,7.4973,4172,0
20090421,7.3693,7.8631,7.3693,7.7717,1425,0
20090422,7.6802,7.7808,7.6802,7.7717,131,0
20090423,7.918,8.5031,7.6619,8.0917,739,0
20090424,8.0917,8.2288,8.0459,8.0917,1696,0
20090427,8.1191,8.2745,7.6436,8.2745,2762,0
20090428,8.0002,8.2745,7.9545,8.0917,2571,0
20090429,8.0917,8.4665,8.0459,8.3202,2454,0
20090430,8.238,8.5031,8.238,8.5031,2198,0
20090504,8.3659,8.5031,8.302,8.4939,1810,0
20090505,8.3843,8.686,8.3659,8.686,2412,0
20090506,8.5397,10.057,8.5397,9.1797,2311,0
20090507,9.1431,9.875,9.1431,9.3719,1842,0
20090508,9.2162,9.875,9.07,9.2345,2341,0
20090511,9.3258,9.4171,9.0791,9.0974,8925,0
20090512,9.07,9.4084,9.07,9.4084,2957,0
20090513,9.2989,9.2989,9.07,9.07,1723,0
20090514,8.9146,9.0516,8.9146,8.9146,1680,0
20090515,8.8231,8.9602,8.7774,8.7774,678,0
20090518,8.7408,8.8231,8.7408,8.7774,591,0
20090520,8.7774,9.701,8.7774,9.701,2023,0
20090521,9.555,9.628,9.4998,9.555,1659,0
20090522,9.555,9.81,9.555,9.81,1357,0
20090525,9.619,9.82,9.1431,9.82,235,0
20090526,9.701,9.802,9.682,9.682,218,0
20090527,9.564,9.674,9.3988,9.4084,558,0
20090529,9.2989,9.4267,9.1701,9.1701,1619,0
20090601,9.1431,9.2806,9.0608,9.2806,218,0
20090602,9.2806,9.674,9.2806,9.674,445,0
20090603,9.692,9.82,9.692,9.82,1427,0
20090604,9.701,9.865,9.692,9.865,1819,0
20090605,9.692,9.92,9.692,9.92,2182,0
20090608,9.802,9.92,9.646,9.802,1937,0
20090609,9.682,9.92,9.682,9.682,371,0
20090610,9.564,9.765,9.2806,9.765,1471,0
20090611,9.646,9.774,9.646,9.655,2460,0
20090612,9.774,10.103,9.3258,10.103,10006,0
20090615,10.057,10.276,9.966,10.276,2810,0
20090616,10.158,10.222,10.057,10.057,2582,0
20090617,9.938,10.515,9.828,9.828,865,0
20090618,9.71,9.828,9.4815,9.4815,2297,0
20090619,9.3719,9.81,9.3719,9.81,328,0
20090622,9.929,9.929,9.3258,9.445,601,0
20090623,9.445,9.865,9.2441,9.527,1455,0
20090624,9.4632,9.783,9.4632,9.664,623,0
20090625,9.545,10.057,9.545,9.893,1600,0
20090626,9.774,9.828,9.646,9.71,438,0
20090629,9.601,10.057,9.601,10.012,1644,0
20090630,9.755,10.067,9.601,9.601,4026,0
20090702,9.601,10.049,9.601,9.929,1033,0
20090703,9.929,10.057,9.929,9.938,87,0
20090706,9.82,10.03,9.82,9.911,175,0
20090707,9.792,9.92,9.792,9.792,1149,0
20090708,9.692,9.875,9.692,9.783,306,0
20090709,9.692,9.875,9.692,9.828,776,0
20090710,9.719,9.948,9.692,9.692,957,0
20090713,9.71,9.828,9.71,9.828,328,0
20090714,9.71,10.057,9.71,10.057,579,0
20090715,9.966,10.049,9.966,9.966,547,0
20090716,9.911,10.405,9.911,10.276,2019,0
20090717,10.158,10.286,10.057,10.057,3429,0
20090720,9.938,10.057,9.911,9.92,3029,0
20090721,9.802,10.24,9.783,10.122,21776,0
20090722,10.039,10.103,9.883,10.057,2326,0
20090723,9.902,10.423,9.783,10.021,818,0
20090724,10.021,10.103,9.976,9.976,1507,0
20090727,9.966,10.057,9.81,10.049,3292,0
20090728,9.893,10.185,9.783,10.085,10102,0
20090729,9.929,10.423,9.828,9.966,2848,0
20090730,9.81,10.195,9.81,10.195,678,0
20090731,10.057,10.423,9.911,10.222,1161,0
20090803,10.067,10.679,10.057,10.515,4940,0
20090804,10.35,10.789,10.35,10.606,2522,0
20090805,10.487,10.606,10.469,10.597,1990,0
20090806,10.469,10.862,10.414,10.606,3062,0
20090807,10.487,10.77,10.487,10.77,1332,0
20090810,10.835,11.054,10.651,10.697,7895,0
20090811,10.651,10.862,10.651,10.862,3405,0
20090812,10.807,10.963,10.679,10.963,2614,0
20090813,10.853,10.862,10.615,10.789,5100,0
20090814,10.725,10.88,10.597,10.88,5798,0
20090817,10.752,10.963,10.661,10.963,13673,0
20090818,10.88,10.88,10.697,10.789,4925,0
20090819,10.697,10.697,10.258,10.258,1274,0
20090820,10.258,10.35,9.508,9.865,7146,0
20090821,9.783,9.911,9.655,9.883,2516,0
20090824,9.875,10.46,9.875,10.332,4571,0
20090825,10.286,10.332,10.203,10.203,886,0
20090826,10.13,10.24,10.13,10.149,819,0
20090827,10.13,10.332,10.13,10.332,4265,0
20090828,10.24,10.606,10.24,10.515,5048,0
20090831,10.432,10.505,10.423,10.505,1176,0
20090901,10.469,10.651,10.195,10.469,3258,0
20090902,10.478,10.478,10.286,10.469,3444,0
20090903,10.377,10.606,10.377,10.56,4039,0
20090904,10.515,11.283,10.469,11.182,20255,0
