Date,Open,High,Low,Close,Volume,OpenInt
20090408,391,485,391,426,12,0
20090409,391,498,391,445,22,0
20090415,475,499,391,499,10,0
20090416,391,490,391,480,10,0
20090420,391,499,391,499,52,0
20090422,391,480,391,480,11,0
20090423,391,480,391,450,2,0
20090427,391,490,391,490,1,0
20090429,391,490,391,452,20,0
20090430,391,485,391,485,9,0
20090505,452,466,452,466,1,0
20090507,391,453,391,453,2,0
20090511,391,495,391,495,40,0
20090512,494.9,495,391,470,32,0
20090513,391,495,391,495,24,0
20090514,391,490,391,450.1,4,0
20090519,391,470,391,470,20,0
20090520,391,470,391,470,15,0
20090521,391,488,391,488,6,0
20090522,391,470,391,470,6,0
20090602,460,480,380,480,6,0
20090604,380,495,380,460,12,0
20090605,460,495,380,480,9,0
20090608,380,480,380,480,11,0
20090609,380,495,380,495,7,0
20090612,380,490,380,490,4,0
20090615,380,498,380,497.9,27,0
20090616,380,497.9,380,470,20,0
20090617,465,490,382,466,12,0
20090618,382,490,382,466,2,0
20090619,382,498,382,497,20,0
20090622,382,497,382,488,10,0
20090625,382,500,382,400,6,0
20090629,400,490,400,475,25,0
20090630,400,485,400,485,2,0
20090702,410,490,410,490,4,0
20090703,410,489,410,485,23,0
20090706,410,489,410,489,5,0
20090707,410,489,410,450,35,0
20090708,410,465,410,465,32,0
20090714,410,490.03,410,490.03,2,0
20090720,475,475,410,475,7,0
20090722,470,494.99,470,494.99,10,0
20090727,470,490,410,490,32,0
20090729,410,470.1,410,470,15,0
20090730,410,470,410,470,173,0
20090803,494.99,494.99,410,470,10,0
20090807,410,470,410,470,12,0
20090810,470,470,469,470,7,0
20090812,470,485,410,485,22,0
20090817,488.5,488.5,410,470,6,0
20090825,420,490,420,490,20,0
20090826,420,489.2,420,428,22,0
20090827,428,486.7,428,486.7,2,0
20090831,488,488,428,428,17,0
20090902,460,489.19,460,489.19,50,0
20090903,460,483.99,460,469,1,0
20090907,465.65,483.99,460,483.99,2,0
20090908,460,483.99,460,465,107,0
20090909,460,484,460,484,10,0
20090910,460,484.5,460,484.5,7,0
20090911,460,485,460,484.5,2,0
20090914,460,470,460,465.3,23,0
20090915,460,468,460,468,2,0
20090917,461.5,485,461.5,466,56,0
20090922,460,485,460,485,19,0
20090923,460,485,460,483.89,11,0
20091007,470,480,466,480,24,0
20091013,470,470,466,466,2,0
20091016,470,470,440,470,1,0
20091020,465,470,465,470,8,0
20091021,467.5,475,465,475,3,0
20091022,465,470,465,470,7,0
20091030,467.5,470,467.5,470,11,0
20091102,467,480,467,480,10,0
20091103,467,469.99,467,468.5,17,0
20091104,467,470,467,470,147,0
20091105,468,480.01,468,480,41,0
20091106,468,470.01,468,470,2,0
20091111,470,476,466,476,73,0
20091113,481,484.99,470,484.99,122,0
20091117,470,485,470,485,92,0
20091118,470,484,470,484,16,0
20091119,470,494.99,470,470,2,0
20091123,470,475,470,475,15,0
20091130,467,475,467,475,12,0
20091201,475,480,475,480,17,0
20091203,480,485,480,480,6,0
20091207,480,495,480,489.5,108,0
