Date,Open,High,Low,Close,Volume,OpenInt
20130221,52000,52000,52000,52000,1,0
20130225,53200.004,53200.004,53200.004,53200.004,1,0
20130227,54000.004,54000.004,54000.004,54000.004,1,0
20130228,56400,56400,56400,56400,3,0
20130313,50200,50200,50200,50200,1,0
20130521,45010,45010,45010,45010,1,0
20130625,41100.004,41100.004,41100.004,41100.004,1,0
20130809,38800.004,38800.004,38800.004,38800.004,1,0
20130826,37490.004,37490.004,37490.004,37490.004,1,0
20130827,38500,38500,38500,38500,1,0
20130910,38000,38000,38000,38000,1,0
20130913,40080,40080,40080,40080,1,0
20130916,40310.004,40310.004,40310.004,40310.004,1,0
20131008,41500.004,41500.004,41500.004,41500.004,1,0
20131010,45000,45000,45000,45000,1,0
20131011,45490,45490,45490,45490,1,0
20131016,49500,49500,49500,49500,1,0
20131025,48500,48500,48500,48500,1,0
20131111,47000,47000,47000,47000,1,0
20131112,46790,46790,46790,46790,1,0
20131114,45100.004,45100.004,45100.004,45100.004,1,0
20131118,46680.004,46680.004,46680.004,46680.004,1,0
20131120,48500,48500,48500,48500,1,0
20131206,46200,46200,46200,46200,1,0
20131218,38000,38000,38000,38000,1,0
20140103,40400,40400,40400,40400,1,0
20140106,38590,38590,38590,38590,1,0
20140227,37820.004,37820.004,37820.004,37820.004,1,0
20140228,37610,37610,37610,37610,1,0
20140320,37370,37370,37370,37370,1,0
20140429,43410.004,43410.004,43410.004,43410.004,1,0
20140430,43440,43440,43440,43440,1,0
20140508,39000.004,39000.004,39000.004,39000.004,1,0
20140519,39470,39470,39470,39470,1,0
20140528,35000,35000,35000,35000,3,0
20140529,35100,35100,35100,35100,1,0
20140530,34000.004,34000.004,34000.004,34000.004,1,0
20140602,30310,30310,30310,30310,2,0
20140603,30280.002,30280.002,30280.002,30280.002,5,0
20140604,29970.002,29970.002,29970.002,29970.002,3,0
20140605,29600.002,29600.002,29600.002,29600.002,3,0
20140606,29500.002,29500.002,29500.002,29500.002,2,0
20140610,27000.002,27000.002,27000.002,27000.002,3,0
20140611,25110,25110,25110,25110,4,0
20140612,22000.002,22000.002,22000.002,22000.002,3,0
20140613,24489.998,24489.998,24489.998,24489.998,4,0
20140616,24100.002,24100.002,24100.002,24100.002,7,0
20140617,23000,23000,23000,23000,14,0
20140618,21300.002,21300.002,21300.002,21300.002,2,0
20140619,19500.002,19500.002,19500.002,19500.002,7,0
20140620,18500.002,18500.002,18500.002,18500.002,7,0
20140623,23880.002,23880.002,23880.002,23880.002,20,0
20140624,23070,23070,23070,23070,3,0
20140625,21600.002,21600.002,21600.002,21600.002,1,0
20140701,20050.002,20050.002,20050.002,20050.002,1,0
20140703,18000,18000,18000,18000,3,0
20140704,18500.002,18500.002,18500.002,18500.002,3,0
20140707,13300.001,13300.001,13300.001,13300.001,4,0
20140708,12000.001,12000.001,12000.001,12000.001,3,0
20140710,11190,11190,11190,11190,1,0
20140715,13000,13000,13000,13000,1,0
20140716,13500.001,13500.001,13500.001,13500.001,1,0
20140717,14000,14000,14000,14000,3,0
20140718,12400,12400,12400,12400,1,0
20140724,9000,9000,9000,9000,3,0
20140729,10500,10500,10500,10500,1,0
20140731,9700.001,9700.001,9700.001,9700.001,1,0
20140801,9000,9000,9000,9000,1,0
20140804,10800.001,10800.001,10800.001,10800.001,1,0
20140805,10000,10000,10000,10000,14,0
20140806,13000,13000,13000,13000,14,0
20140807,9500,9500,9500,9500,5,0
20140808,5100,5100,5100,5100,6,0
20140811,4100,4100,4100,4100,6,0
20140812,4100,4100,4100,4100,2,0
20140813,4600,4600,4600,4600,1,0
20140814,4050,4050,4050,4050,1,0
20140815,4100,4100,4100,4100,4,0
20140818,3800,3800,3800,3800,4,0
20140819,3000,3000,3000,3000,2,0
20140820,2600,2600,2600,2600,1,0
20140821,2500,2500,2500,2500,3,0
20140822,2800,2800,2800,2800,2,0
20140825,3000,3000,3000,3000,1,0
20140827,3500,3500,3500,3500,1,0
20140828,3500,3500,3500,3500,2,0
20140829,3200,3200,3200,3200,1,0
20140901,4600,4600,4600,4600,5,0
20140902,4400,4400,4400,4400,5,0
20140903,4500,4500,4500,4500,3,0
20140904,4000,4000,4000,4000,9,0
20140905,4100,4100,4100,4100,4,0
20140908,4000,4000,4000,4000,1,0
20140909,4000,4000,4000,4000,1,0
20140910,4800,4800,4800,4800,3,0
20140915,4600,4600,4600,4600,10,0
20140916,4400,4400,4400,4400,6,0
20140917,4650,4650,4650,4650,2,0
20140918,4720,4720,4720,4720,4,0
20140922,5800,5800,5800,5800,4,0
20140923,5200,5200,5200,5200,3,0
20140925,5850,5850,5850,5850,1,0
20140926,9800,9800,9800,9800,3,0
20140929,8200,8200,8200,8200,3,0
20141002,6900,6900,6900,6900,1,0
20141007,7500,7500,7500,7500,1,0
20141017,5200,5200,5200,5200,1,0
20141126,3790,3790,3790,3790,1,0
20141203,2500,2500,2500,2500,2,0
20141205,1500,1500,1500,1500,1,0
20141212,1500,1500,1500,1500,1,0
20141215,2020,2020,2020,2020,1,0
20141216,3500,3500,3500,3500,2,0
20150109,3200,3200,3200,3200,1,0
20150302,5260,5260,5260,5260,1,0
20150303,4000,4000,4000,4000,1,0
20150320,3060,3060,3060,3060,1,0
20150327,2940,2940,2940,2940,1,0
20150421,3100,3100,3100,3100,1,0
20150505,3860,3860,3860,3860,1,0
20150507,3960,3960,3960,3960,1,0
20150508,3660,3660,3660,3660,1,0
20150601,3200,3200,3200,3200,1,0
20150702,3300,3300,3300,3300,1,0
20150902,2600,2600,2600,2600,1,0
20151021,700,700,700,700,1,0
20151120,720,720,720,720,1,0
20151207,600,600,600,600,1,0
20151209,300,300,300,300,3,0
20151221,350,350,350,350,1,0
20151223,500,500,500,500,3,0
20151228,500,500,500,500,1,0
20151230,510,510,510,510,2,0
20160422,250,250,250,250,14,0
20160505,250,250,250,250,1,0
20160520,410,410,410,410,1,0
20160524,410,410,410,410,4,0
20160607,510,510,510,510,1,0
20160615,520,520,520,520,1,0
20160801,480,480,480,480,2,0
20160802,230,230,230,230,3,0
20160812,240,240,240,240,1,0
20160822,250,250,250,250,2,0
20160824,260,260,260,260,1,0
20160831,260,260,260,260,1,0
20160921,800,800,800,800,3,0
20160922,900,900,900,900,1,0
20160930,550,550,550,550,1,0
20161017,200,200,200,200,1,0
20161019,480,480,480,480,1,0
20161021,300,300,300,300,1,0
20161102,210,210,210,210,1,0
20161221,200,200,200,200,5,0
20161223,1.6,1.6,1.6,1.6,1,0
20161227,1.6,1.7,1.6,1.7,1,0
20161228,1.7,2.2,1.7,2.2,15,0
20161230,2.2,2.2,2.2,2.2,1,0
20170106,2.8,2.8,2.2,2.2,5,0
20170109,2,2,2,2,1,0
20170116,2.6,3,2.55,2.55,5,0
20170117,3,3.5,3,3.5,5,0
20170119,3.5,4,3.5,4,1,0
20170120,4.05,5,4.05,5,1525,0
20170124,5.2,5.2,5.2,5.2,90,0
20170126,6.2,6.2,6.2,6.2,11,0
20170131,6,6,5.5,5.5,50,0
20170202,4,4,4,4,200,0
20170203,3.5,3.5,3.5,3.5,15,0
20170208,3,3,3,3,300,0
20170213,3,3,2.5,3,41,0
20170215,3,3,2.5,3,10,0
20170221,2.5,2.7,2.5,2.5,1,0
20170303,2.75,2.75,2.75,2.75,25,0
20170308,2.9,2.9,2.9,2.9,20,0
20170323,3,3.3,3,3.3,300,0
