Date,Open,High,Low,Close,Volume,OpenInt
20090720,0.48,0.48,0.45,0.47,5800,0
20090730,0.47,0.47,0.33,0.33,4825,0
20090804,0.4,0.43,0.35,0.43,900,0
20090805,0.4,0.4,0.34,0.34,2714,0
20090807,0.4,0.43,0.34,0.35,250,0
20090812,0.34,0.43,0.34,0.341,25,0
20090813,0.34,0.43,0.34,0.34,275,0
20090827,0.34,0.34,0.2,0.28,13375,0
20090828,0.34,0.34,0.2,0.33,7000,0
20090831,0.2,0.33,0.2,0.33,4500,0
20090904,0.33,0.33,0.22,0.27,625,0
20090915,0.33,0.33,0.22,0.26,1200,0
20090930,0.253,0.32,0.25,0.32,525,0
20091009,0.324,0.324,0.25,0.32,250,0
20091014,0.32,0.32,0.25,0.32,375,0
20091020,0.355,0.355,0.35,0.35,1915,0
20091118,0.38,0.4,0.38,0.4,1000,0
20091208,0.38,0.38,0.38,0.38,3000,0
20091215,0.38,0.38,0.21,0.21,3275,0
20091218,0.38,0.38,0.38,0.38,2000,0
20091228,0.418,0.418,0.3,0.3,3075,0
20091230,0.38,0.38,0.38,0.38,1000,0
20100105,0.38,0.41,0.3,0.41,2500,0
20100106,0.42,0.42,0.42,0.42,2750,0
20100108,0.42,0.43,0.42,0.43,1125,0
20100112,0.42,0.42,0.4,0.4,6250,0
20100118,0.189,0.3,0.189,0.23,560,0
20100122,0.18,0.2,0.16,0.16,5414,0
20100128,0.18,0.18,0.17,0.18,1500,0
20100309,0.24,0.25,0.24,0.25,2889,0
20100414,0.25,0.25,0.21,0.21,225,0
20100519,0.21,0.22,0.21,0.22,2725,0
20100601,0.189,0.2,0.189,0.2,500,0
20100604,0.153,0.2,0.153,0.2,575,0
20100712,0.18,0.2,0.18,0.181,1200,0
20100713,0.2,0.2,0.18,0.2,1200,0
20100924,0.2,0.2,0.2,0.2,75,0
20101001,0.18,0.2,0.18,0.2,510,0
20101101,0.18,0.18,0.15,0.15,75,0
20101109,0.18,0.2,0.18,0.2,490,0
20101118,0.18,0.18,0.18,0.18,225,0
20101227,0.18,0.2,0.18,0.2,2925,0
20110119,0.18,0.2,0.15,0.2,325,0
20110505,0.17,0.2,0.17,0.2,400,0
20110523,0.16,0.17,0.12,0.12,150,0
20110530,0.17,0.17,0.08,0.08,125,0
20110531,0.17,0.17,0.04,0.091,225,0
20110609,0.095,0.106,0.09,0.106,775,0
20110616,0.09,0.11,0.09,0.11,950,0
20110617,0.09,0.106,0.09,0.106,250,0
20110623,0.09,0.108,0.09,0.108,2,0
20110629,0.09,0.106,0.09,0.09,100,0
20110725,0.095,0.095,0.095,0.095,25,0
20110726,0.136,0.136,0.097,0.097,211,0
20110727,0.097,0.098,0.097,0.098,150,0
20110729,0.09,0.091,0.09,0.09,500,0
20110803,0.09,0.091,0.09,0.09,125,0
20110812,0.09,0.1,0.09,0.09,100,0
20110826,0.09,0.09,0.09,0.09,4000,0
20110916,0.13,0.13,0.13,0.13,750,0
20110929,0.09,0.17,0.09,0.17,6000,0
20110930,0.13,0.13,0.09,0.09,250,0
20111003,0.09,0.12,0.09,0.12,225,0
20111005,0.082,0.161,0.082,0.161,1559,0
20111006,0.161,0.162,0.161,0.162,4441,0
20111007,0.123,0.125,0.123,0.125,100,0
20111014,0.086,0.166,0.086,0.166,4710,0
20111017,0.127,0.18,0.127,0.18,4000,0
20111019,0.182,0.183,0.182,0.183,100,0
20111020,0.144,0.35,0.144,0.35,1000,0
20111021,0.311,0.312,0.311,0.312,3725,0
20111024,0.273,0.275,0.235,0.235,211,0
20111101,0.235,0.235,0.195,0.195,150,0
20111110,0.2,0.2,0.2,0.2,25,0
20111121,0.17,0.17,0.17,0.17,50,0
20111216,0.13,0.13,0.08,0.08,1000,0
20120112,0.15,0.15,0.11,0.11,300,0
20120113,0.11,0.121,0.11,0.121,25,0
20120116,0.121,0.122,0.121,0.121,1225,0
20120118,0.121,0.122,0.081,0.081,9313,0
20120124,0.084,0.085,0.084,0.085,5000,0
20120125,0.045,0.05,0.045,0.05,1525,0
20120127,0.016,0.06,0.012,0.012,75,0
20120130,0.024,0.032,0.024,0.032,750,0
20120206,0.032,0.06,0.032,0.06,6180,0
20120207,0.032,0.08,0.032,0.08,1500,0
20120208,0.041,0.07,0.041,0.07,2500,0
20120209,0.03,0.07,0.03,0.07,325,0
20120217,0.041,0.06,0.041,0.06,7825,0
20120220,0.021,0.06,0.021,0.033,100,0
20120224,0.063,0.063,0.06,0.06,75,0
20120227,0.06,0.061,0.034,0.04,102,0
20120307,0.07,0.071,0.07,0.071,100,0
20120326,0.06,0.062,0.06,0.062,25,0
20120329,0.06,0.061,0.06,0.061,100,0
20120507,0.124,0.124,0.124,0.124,1250,0
20120514,0.084,0.084,0.084,0.084,1000,0
20120521,0.06,0.07,0.06,0.061,75,0
20120612,0.06,0.065,0.06,0.06,2677,0
20120613,0.065,0.065,0.06,0.06,25,0
20120614,0.06,0.065,0.06,0.061,250,0
20120628,0.065,0.065,0.065,0.065,25,0
20120731,0.065,0.072,0.065,0.072,50,0
20120801,0.06,0.081,0.06,0.081,500,0
20120806,0.06,0.066,0.06,0.065,5500,0
20120808,0.061,0.062,0.061,0.062,500,0
20121010,0.066,0.069,0.066,0.066,25,0
20121128,0.066,0.07,0.066,0.07,25,0
20121211,0.06,0.06,0.06,0.06,3750,0
20121213,0.06,0.06,0.02,0.02,125,0
20121217,0.021,0.022,0.021,0.022,825,0
20121228,0.065,0.098,0.065,0.098,8600,0
20130102,0.058,0.063,0.058,0.063,25,0
20130122,0.071,0.073,0.071,0.073,500,0
20130124,0.071,0.072,0.071,0.072,3250,0
20130125,0.032,0.033,0.032,0.033,8000,0
20130129,0.071,0.071,0.034,0.034,2000,0
20130131,0.034,0.042,0.021,0.021,75,0
20130226,0.046,0.047,0.046,0.047,75,0
20130319,0.046,0.047,0.046,0.047,500,0
20130321,0.047,0.047,0.047,0.047,2000,0
20130322,0.047,0.047,0.047,0.047,250,0
20130325,0.011,0.061,0.011,0.021,800,0
20130403,0.031,0.032,0.031,0.032,175,0
20130404,0.031,0.032,0.031,0.032,50,0
20130405,0.031,0.111,0.031,0.111,9010,0
20130408,0.071,0.11,0.07,0.07,5310,0
20130429,0.042,0.042,0.042,0.042,9010,0
20130507,0.035,0.035,0.033,0.033,5000,0
20130521,0.038,0.038,0.038,0.038,100,0
20130522,0.036,0.036,0.035,0.035,25,0
20130605,0.035,0.037,0.035,0.035,75,0
20130611,0.042,0.051,0.035,0.035,125,0
20130612,0.035,0.043,0.035,0.035,125,0
20130613,0.035,0.043,0.035,0.035,2400,0
20130619,0.042,0.045,0.042,0.045,1250,0
20130701,0.044,0.045,0.042,0.042,5125,0
20130708,0.042,0.044,0.042,0.042,400,0
20130710,0.042,0.042,0.042,0.042,4000,0
20130805,0.043,0.045,0.035,0.035,250,0
20130812,0.043,0.045,0.043,0.045,375,0
20130813,0.035,0.045,0.035,0.045,130,0
20130816,0.044,0.06,0.035,0.035,25,0
20130904,0.051,0.051,0.035,0.035,1000,0
20130918,0.035,0.042,0.035,0.035,1250,0
20130926,0.041,0.043,0.035,0.035,750,0
20131018,0.051,0.051,0.035,0.035,10000,0
20131105,0.035,0.035,0.021,0.021,40000,0
20131121,0.041,0.041,0.022,0.022,125,0
20131125,0.04,0.042,0.04,0.042,50,0
20131128,0.04,0.042,0.04,0.042,125,0
20131202,0.04,0.044,0.04,0.044,5000,0
20131203,0.042,0.042,0.04,0.04,50,0
20131217,0.04,0.04,0.022,0.022,7375,0
20131219,0.029,0.029,0.022,0.022,500,0
20140106,0.024,0.024,0.024,0.024,20000,0
20140108,0.025,0.049,0.025,0.049,10000,0
20140116,0.044,0.044,0.031,0.031,10000,0
20140124,0.032,0.032,0.018,0.019,50,0
20140206,0.024,0.024,0.014,0.014,50,0
20140213,0.02,0.021,0.015,0.021,125,0
20140217,0.021,0.021,0.018,0.018,75,0
20140221,0.024,0.024,0.018,0.02,8600,0
20140225,0.024,0.024,0.018,0.018,10,0
20140314,0.024,0.024,0.017,0.018,9975,0
20140319,0.023,0.023,0.016,0.016,25,0
20140403,0.028,0.08,0.022,0.08,76695,0
20140408,0.029,0.04,0.029,0.04,13545,0
20140410,0.049,0.049,0.041,0.041,125,0
20140414,0.05,0.058,0.047,0.058,500,0
20140415,0.059,0.064,0.05,0.055,1000,0
20140430,0.023,0.034,0.023,0.029,500,0
20140512,0.031,0.031,0.024,0.024,4000,0
20140519,0.022,0.022,0.021,0.021,10000,0
20140522,0.035,0.035,0.035,0.035,4000,0
20140523,0.028,0.028,0.018,0.019,175,0
20140527,0.027,0.027,0.018,0.024,625,0
20140530,0.027,0.027,0.019,0.019,150,0
20140602,0.025,0.028,0.025,0.028,15000,0
20140611,0.029,0.029,0.018,0.021,100,0
20140707,0.021,0.021,0.014,0.014,1875,0
20140710,0.022,0.047,0.016,0.047,50,0
20140715,0.021,0.021,0.018,0.018,625,0
20140804,0.019,0.019,0.013,0.013,250,0
20140909,0.019,0.019,0.013,0.013,75,0
20140915,0.042,0.042,0.013,0.013,35000,0
20140917,0.059,0.059,0.013,0.013,8500,0
20140918,0.034,0.076,0.034,0.076,2000,0
20140919,0.06,0.06,0.042,0.042,10000,0
20140922,0.05,0.05,0.027,0.027,1250,0
20141002,0.082,0.082,0.027,0.08,6080,0
20141006,0.214,0.214,0.04,0.044,53000,0
20141008,0.121,0.121,0.04,0.042,500,0
20141013,0.121,0.121,0.04,0.061,7600,0
20141016,0.065,0.066,0.041,0.051,250,0
20141029,0.124,0.124,0.041,0.052,5100,0
20141112,0.104,0.104,0.07,0.075,6080,0
