Date,Open,High,Low,Close,Volume,OpenInt
20090406,10.558,10.686,9.849,10.194,1015,0
20090407,10.125,10.538,10.125,10.292,1738,0
20090408,10.016,10.341,10.016,10.292,1015,0
20090414,9.947,10.341,9.947,10.194,1220,0
20090415,9.967,10.194,9.947,10.194,1116,0
20090416,10.075,10.194,9.859,10.026,1182,0
20090417,9.898,10.144,9.849,9.947,3452,0
20090420,9.721,10.341,9.721,10.105,761,0
20090421,9.967,10.538,9.967,10.144,6911,0
20090422,9.947,10.144,9.849,10.144,2629,0
20090423,9.947,10.144,9.947,10.105,304,0
20090424,9.947,10.174,9.849,10.105,817,0
20090427,9.829,10.174,9.829,10.105,91,0
20090428,9.849,10.174,9.849,10.105,101,0
20090429,10.006,10.292,10.006,10.174,406,0
20090430,10.056,10.44,10.056,10.44,741,0
20090506,10.105,10.243,9.849,10.184,2455,0
20090507,10.154,10.194,9.859,9.859,3,0
20090508,10.184,10.194,9.849,9.849,7082,0
20090513,9.957,10.026,9.849,10.026,304,0
20090514,10.006,10.174,9.977,10.174,345,0
20090515,9.938,10.174,9.849,10.174,356,0
20090518,9.987,10.44,9.987,10.341,148,0
20090520,10.302,10.558,10.292,10.558,446,0
20090521,10.263,10.489,10.223,10.223,893,0
20090526,10.302,10.341,9.849,9.849,609,0
20090528,7.84,10.174,7.84,10.095,102,0
20090602,7.928,10.174,7.928,10.046,406,0
20090603,9.967,10.144,9.947,10.046,203,0
20090604,8.047,10.144,8.047,10.105,101,0
20090609,9.494,10.292,9.494,10.095,122,0
20090610,9.514,10.154,9.514,10.046,203,0
20090611,9.514,10.154,9.514,10.115,3303,0
20090612,9.435,11.277,9.435,10.686,19768,0
20090615,10.617,10.834,10.617,10.696,5649,0
20090616,10.716,10.716,10.548,10.686,513,0
20090617,9.504,10.686,9.504,10.637,3147,0
20090619,9.435,10.735,9.435,10.243,1929,0
20090622,9.475,10.922,9.475,10.696,5203,0
20090623,10.735,12.508,10.735,12.213,9935,0
20090624,11.789,12.804,11.789,12.114,8977,0
20090625,11.73,13.838,11.73,13.68,6864,0
20090626,13.523,14.576,13.335,14.281,6680,0
20090629,14.458,14.478,13.542,13.542,1637,0
20090630,12.833,15.02,12.833,14.379,3541,0
20090701,14.773,15.512,14.773,14.773,5406,0
20090702,12.735,14.773,12.735,12.804,3170,0
20090703,12.863,14.773,12.863,14.773,446,0
20090706,12.656,14.773,12.656,14.232,5271,0
20090707,12.813,14.281,12.813,14.281,1523,0
20090708,13.148,14.665,13.148,14.468,6503,0
20090709,12.912,14.576,12.912,14.576,5791,0
20090710,13.148,14.773,13.148,14.517,321,0
20090713,13.148,14.773,13.148,14.724,1150,0
20090714,13.148,15.167,13.148,14.773,3760,0
20090715,13.148,14.773,13.148,14.724,1644,0
20090716,13.148,14.773,13.148,14.665,243,0
20090717,13.148,14.675,13.148,14.665,2152,0
20090720,14.212,14.527,14.084,14.478,172,0
20090721,14.123,14.567,14.084,14.567,294,0
20090723,14.113,14.527,14.084,14.468,722,0
20090724,14.015,14.468,14.015,14.468,2428,0
20090727,14.32,14.438,13.7,13.7,1456,0
20090728,13.148,14.271,13.148,14.084,710,0
20090729,14.251,14.271,13.591,13.69,1253,0
20090730,13.818,14.232,13.69,14.222,709,0
20090731,13.148,14.232,13.148,13.591,2395,0
20090803,12.863,14.182,12.863,14.182,1183,0
20090804,12.853,13.69,12.853,13.591,177,0
20090805,12.882,13.542,12.882,13.296,253,0
20090806,12.961,13.591,12.961,13.493,2049,0
20090807,12.922,13.493,12.922,13.296,78,0
20090810,13.247,13.493,13.099,13.099,741,0
20090811,13.365,13.365,13.001,13.296,71,0
20090812,14.606,14.606,13.099,13.493,176,0
20090813,13.326,13.591,12.902,13.296,2727,0
20090814,13.306,13.306,13.099,13.099,913,0
20090817,13.188,13.296,13.001,13.296,197,0
20090818,12.951,13.296,12.902,13.296,1040,0
20090819,11.238,13.296,10.341,13.296,13549,0
20090820,11.228,13.296,11.228,13.296,1015,0
20090821,13.237,13.237,12.035,12.804,720,0
20090824,12.607,12.991,12.607,12.695,751,0
20090826,11.346,13.296,11.346,13.296,491,0
20090828,11.336,13.198,11.336,13.198,4,0
20090831,11.228,13.198,11.228,13.198,6,0
20090901,12.774,13.296,12.774,13.198,4,0
20090902,12.922,13.296,12.804,13.198,10,0
20090903,10.696,13.296,10.696,12.705,461,0
20090907,12.804,13.296,12.804,13.05,113,0
20090908,10.341,13.099,10.341,13.05,101,0
20090909,10.341,13.296,10.341,13.296,33,0
20090910,10.4,12.951,10.4,12.804,888,0
20090911,10.351,12.951,10.351,12.804,101,0
20090914,10.341,13.296,10.341,13.296,10,0
20090915,10.391,12.951,10.391,12.607,10,0
20090916,12.804,13.296,12.804,13.296,12,0
20090917,10.381,13.296,10.381,13.296,1034,0
20090918,13.001,13.296,12.902,13.296,2436,0
20090921,10.578,13.591,10.578,13.591,1002,0
20090922,10.696,13.542,10.696,13.542,113,0
20090923,10.814,13.542,10.814,13.542,65,0
20090924,13.168,13.542,12.705,13.296,517,0
20090925,10.381,13.099,10.381,12.804,812,0
20090928,10.381,13.591,10.381,13.591,20,0
20090929,12.932,13.493,12.804,13.493,20,0
20090930,13.089,13.493,13.001,13.493,406,0
20091001,12.754,13.493,12.754,13.493,355,0
20091002,13.198,13.198,13.05,13.198,505,0
20091005,13.079,13.198,13.001,13.001,406,0
20091006,13.001,13.385,12.804,13.385,11,0
20091009,12.951,13.198,12.705,13.178,2284,0
20091012,13.069,13.788,12.419,12.419,111,0
20091014,13.089,13.788,12.804,13.296,304,0
20091015,12.981,13.296,12.804,13.286,197,0
20091016,12.843,13.296,12.804,13.296,224,0
20091020,13.296,13.296,12.804,13.001,101,0
20091022,13.198,13.198,12.804,13.05,505,0
20091023,12.941,13.198,12.941,13.05,30,0
20091026,13.04,13.198,13.04,13.05,22,0
20091027,12.833,13.198,12.833,13.05,3,0
20091028,12.774,13.296,12.419,12.419,3467,0
20091029,12.784,13.266,12.784,13.266,168,0
20091030,12.577,13.257,12.577,13.257,5,0
20091102,12.754,13.099,12.685,13.099,319,0
