Date,Open,High,Low,Close,Volume,OpenInt
20000114,40.175,42.01,40.175,40.61,10355,0
20000117,41.528,43.459,41.045,42.493,9733,0
20000118,43.463,53.605,43.463,47.23,19775,0
20000119,48.292,51.624,46.988,50.9,11595,0
20000120,52.059,58.82,52.059,55.053,25676,0
20000121,55.823,56.016,50.221,52.153,19362,0
20000124,51.332,52.781,51.187,52.153,10251,0
20000125,48.53,51.186,48.288,51.186,7455,0
20000126,51.189,57.95,51.189,57.757,11700,0
20000127,56.982,60.362,56.113,59.01,28163,0
20000128,60.267,64.42,60.267,61.812,14288,0
20000131,62.805,63.259,60.362,60.362,9319,0
20000201,60.848,61.331,59.882,60.075,10250,0
20000202,58.425,60.067,56.928,57.845,12737,0
20000203,57.945,67.119,56.979,65.719,28164,0
20000204,65.869,65.869,62.296,62.779,17601,0
20000207,63.257,80.157,63.257,78.032,30132,0
20000208,78.326,96.58,77.36,96.58,23400,0
20000209,113,113,94.166,96.58,42245,0
20000210,96.676,104.3,90.785,104.3,22572,0
20000211,104.3,111.06,96.234,97.547,13874,0
20000214,97.74,98.512,86.923,88.372,9836,0
20000215,85.952,88.366,83.054,84.889,7973,0
20000216,86.34,86.437,82.574,85.955,8076,0
20000217,84.613,89.819,84.613,85.086,4039,0
20000218,84.986,86.917,84.502,86.241,7765,0
20000221,84.509,85.669,78.232,85.669,4762,0
20000222,85.956,103.82,84.024,103.82,16360,0
20000223,103.34,119.76,97.063,105.27,30027,0
20000224,108.51,112.85,93.679,101.4,13358,0
20000225,103.81,104.29,94.642,98.503,7765,0
20000228,95.903,96.569,87.887,94.647,14496,0
20000229,96.576,100.44,96.576,100.44,8801,0
20000301,100.45,105.27,100.45,104.3,4557,0
20000302,105.26,114.44,102.37,109.03,16982,0
20000303,110.2,110.2,101.4,102.8,5798,0
20000306,110.1,110.58,104.79,109.13,8283,0
20000307,104.55,108.61,101.41,106.14,6108,0
20000308,93.877,98.897,91.753,97.547,7972,0
20000309,98.394,111.55,98.394,109.86,8593,0
20000310,111.06,112.51,107.21,111.06,5488,0
20000314,103.34,105.27,101.4,104.3,1139,0
20000315,101.41,104.69,98.986,101.4,2900,0
20000316,101.99,101.99,93.435,95.801,8283,0
20000317,97.877,107.29,97.877,107.2,4245,0
20000320,109.86,111.06,109.13,110.58,2277,0
20000321,110.58,112.13,91.75,94.647,9423,0
20000322,97.067,102.37,91.746,91.746,3521,0
20000323,95.614,98.315,94.65,96.59,1449,0
20000324,97.547,98.031,93.685,98.031,2174,0
20000327,95.617,96.1,89.504,89.823,3623,0
20000328,89.625,89.625,79.678,85.086,11079,0
20000329,84.507,86.922,83.541,86.922,4557,0
20000330,84.026,89.772,71.306,76.01,8180,0
20000331,72.914,84.021,69.487,84.021,3313,0
20000403,86.915,86.915,77.258,78.417,3417,0
20000404,75.327,77.258,73.878,73.878,2588,0
20000405,76.297,77.263,70.985,73.158,7144,0
20000406,72.239,84.021,72.239,84.021,6524,0
20000407,83.061,85.958,80.163,80.163,1449,0
20000410,81.121,83.052,79.682,81.603,4970,0
20000411,79.681,79.681,73.886,75.191,3105,0
20000412,78.707,78.707,71.657,73.878,2485,0
20000413,65.768,70.016,65.768,66.637,2795,0
20000414,67.557,69.536,67.557,69.488,1139,0
20000417,64.708,67.258,64.708,67.258,1243,0
20000418,65.768,76.777,65.768,75.329,415,0
20000419,76.824,77.065,73.009,77.065,2382,0
20000420,76.298,78.519,74.849,76.395,310,0
20000425,74.844,75.327,73.878,73.878,518,0
20000426,75.332,78.23,75.332,78.23,1346,0
20000427,77.266,78.666,77.266,78.328,621,0
20000428,79.723,83.045,79.723,82.185,931,0
20000502,79.245,80.231,79.198,80.163,1036,0
20000503,81.273,81.273,79.196,79.196,310,0
20000504,83.539,88.852,83.539,85.471,2277,0
20000505,86.923,98.029,86.923,87.889,7662,0
20000508,88.85,88.85,83.538,84.021,1759,0
20000510,80.163,82.577,79.68,80.163,2174,0
20000511,79.247,81.13,77.749,81.13,2485,0
20000512,80.64,84.166,80.64,84.021,4039,0
20000515,84.504,84.504,82.1,83.152,621,0
20000516,83.054,84.116,83.054,83.054,103,0
20000517,84.168,85.471,83.636,85.471,2692,0
20000518,85.764,85.764,84.992,85.185,208,0
20000519,84.166,86.436,84.022,84.504,3210,0
20000522,86.34,86.437,74.365,77.263,9526,0
20000523,74.268,78.228,74.268,76.779,9837,0
20000524,73.401,73.691,70.31,73.691,1243,0
20000525,75.667,78.13,75.572,76.296,6213,0
20000526,75.329,77.26,75.329,75.329,3624,0
20000529,75.814,86.872,75.814,86.438,4039,0
20000530,86.921,86.921,82.092,83.685,1759,0
20000531,84.019,84.019,81.122,82.087,1759,0
20000602,82.563,84.504,82.563,84.504,2072,0
