Date,Open,High,Low,Close,Volume,OpenInt
20080509,12.667,14.46,12.618,14.44,60809,0
20080512,14.348,14.348,14.129,14.129,2013,0
20080513,14.445,14.567,14.129,14.129,3856,0
20080514,14.275,14.367,14.016,14.08,416,0
20080515,14.129,14.47,13.792,14.47,2204,0
20080516,14.299,14.47,13.948,14.421,1165,0
20080519,14.445,15.249,14.319,15.103,12584,0
20080520,15.103,15.103,14.202,14.494,15934,0
20080521,14.494,15.346,14.236,15.103,25000,0
20080522,15.103,15.346,15.103,15.303,3119,0
20080523,15.346,15.59,14.796,15.346,54093,0
20080526,15.346,15.42,14.791,15.371,15291,0
20080527,15.376,15.59,15.346,15.59,272,0
20080528,15.59,15.59,14.966,14.966,21755,0
20080529,15.424,16.077,15.346,15.6,15246,0
20080530,16.102,16.37,16.077,16.37,7237,0
20080602,16.126,16.828,16.072,16.54,3366,0
20080603,16.54,16.642,15.863,15.863,143,0
20080604,16.345,16.808,16.068,16.803,1676,0
20080605,16.803,16.852,16.184,16.852,1169,0
20080606,16.852,16.852,15.395,16.564,3686,0
20080609,15.468,16.54,15.468,15.946,1036,0
20080610,16.321,16.321,15.946,16.321,6,0
20080611,16.321,16.321,15.366,15.366,615,0
20080612,15.834,15.834,15.439,15.59,8,0
20080613,15.834,15.843,15.351,15.834,1172,0
20080616,15.843,15.843,15.527,15.605,0,0
20080617,15.785,15.907,15.468,15.468,1264,0
20080618,15.468,15.761,15.351,15.351,53,0
20080619,15.468,15.761,15.205,15.761,98,0
20080620,15.517,15.761,15.205,15.761,8,0
20080623,15.517,15.517,15.137,15.137,20,0
20080624,15.517,15.697,15.137,15.517,127,0
20080625,15.517,15.517,15.21,15.21,0,0
20080626,15.517,15.517,15.21,15.21,0,0
20080627,15.517,15.819,15.517,15.819,114,0
20080630,15.707,15.824,15.259,15.337,217,0
20080701,15.517,15.517,15.337,15.337,0,0
20080702,15.517,15.688,15.337,15.688,8,0
